id,name,slot,min_level,picture,category,hp,mp,attack_min,attack_max,magic_min,magic_max,tao_min,tao_max,defense_min,defense_max,magic_defense_min,magic_defense_max,required_job,required_rebirth,weight,sell_price,stack_limit,description
45,魔杖,0,26,43,装备,0,0,5,9,2,5,0,0,0,0,0,0,-1,0,10,15000,1,-
46,八荒,0,15,45,装备,0,0,4,12,0,0,0,0,0,0,0,0,-1,0,25,4545,1,-
47,玻璃戒指,6,7,144,装备,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,800,1,-
48,牛角戒指,6,9,141,装备,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,1,1000,1,-
49,蓝色水晶戒指,6,16,143,装备,0,0,1,0,0,0,0,0,0,0,0,2,-1,0,1,1500,1,-
50,六角戒指,6,7,145,装备,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,800,1,-
51,黑檀项链,3,13,221,装备,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,1,1200,1,-
52,黄色水晶项链,3,13,222,装备,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,1200,1,-
53,黑色水晶项链,3,13,226,装备,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,1,1500,1,-
54,魔法头盔,2,14,101,装备,0,0,0,0,0,0,0,0,0,1,1,1,-1,0,4,1818,1,-
55,半月,0,15,47,装备,0,0,5,10,0,1,1,1,0,0,0,0,-1,0,16,3000,1,-
56,皮制手套,4,7,191,装备,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,2,1500,1,-
57,坚固手套,4,18,192,装备,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,3,6364,1,-
58,钢手镯,4,8,181,装备,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,1818,1,-
59,生铁戒指,6,9,142,装备,0,0,0,0,0,1,0,0,0,2,0,0,-1,0,1,2727,1,-
60,金戒指,6,20,149,装备,0,0,1,1,1,1,1,1,0,0,0,3,-1,0,1,7273,1,-
61,灯笼项链,3,18,234,装备,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,1,2727,1,-
62,白色虎齿项链,3,11,231,装备,0,0,0,0,0,0,1,1,0,2,0,0,-1,0,1,3636,1,-
63,魅力戒指,6,23,160,装备,0,0,0,0,1,2,0,0,0,0,0,0,-1,0,1,3636,1,-
64,道德戒指,6,23,154,装备,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,1,3636,1,-
65,白金项链,3,10,232,装备,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,1,1818,1,-
66,降妖除魔戒指,6,25,153,装备,0,0,1,2,1,2,1,2,0,0,0,4,-1,0,1,8000,1,-
67,躲避手链,3,12,239,装备,0,0,0,0,0,0,0,0,0,0,0,3,-1,0,1,20000,1,-
68,偃月,0,20,50,装备,0,0,4,10,1,3,0,0,0,0,0,0,-1,0,13,9091,1,-
69,降魔,0,20,48,装备,0,0,6,11,0,0,1,2,0,1,0,0,-1,0,20,9091,1,-
70,传统项链,3,3,238,装备,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,1000,1,-
71,小手镯,4,5,193,装备,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1000,1,-
72,银手镯,4,7,203,装备,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2,1500,1,-
73,大手镯,4,9,204,装备,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,2,4545,1,-
74,鹤嘴锄,0,1,51,装备,0,0,0,8,0,0,0,0,0,0,0,0,-1,0,10,700,1,-
75,隐身戒指,6,12,175,装备,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,20000,1,-
76,黑色水晶戒指,6,20,164,装备,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,1,1818,1,-
77,魔鬼项链,3,17,236,装备,0,0,2,0,0,0,0,0,0,0,0,0,-1,0,1,2500,1,-
78,珊瑚戒指,6,25,165,装备,0,0,0,4,0,0,0,0,0,0,0,0,-1,0,1,10000,1,-
79,蓝翡翠项链,3,23,247,装备,0,0,2,2,0,0,0,0,0,0,0,0,-1,0,1,9091,1,-
80,蛇眼戒指,6,20,166,装备,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,1,1818,1,-
81,琥珀项链,3,17,237,装备,0,0,0,0,2,0,0,0,0,0,0,0,-1,0,1,1818,1,-
82,放大镜,3,24,246,装备,0,0,0,0,1,3,0,0,0,0,0,0,-1,0,1,6000,1,-
83,红宝石戒指,6,27,167,装备,0,0,0,0,0,4,0,0,0,0,0,0,-1,0,1,10000,1,-
84,珍珠戒指,6,20,162,装备,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,1,1818,1,-
85,竹笛,3,24,243,装备,0,0,0,0,0,0,1,3,0,0,0,0,-1,0,1,6000,1,-
86,铂金戒指,6,27,174,装备,0,0,0,0,0,0,0,4,0,0,0,0,-1,0,1,10000,1,-
87,骷髅戒指,6,30,178,装备,0,0,0,3,0,0,0,0,0,0,0,0,-1,0,1,4545,1,-
88,龙之戒指,6,37,170,装备,0,0,0,5,0,0,0,0,0,0,0,0,-1,0,1,15000,1,-
89,死神手套,4,22,189,装备,0,0,1,2,0,0,0,0,0,0,0,0,-1,0,2,8000,1,-
90,骷髅头盔,2,30,104,装备,0,0,0,0,0,0,0,0,2,3,0,0,-1,0,5,7273,1,-
91,魔法手镯,4,18,206,装备,0,0,0,0,0,0,0,0,0,1,1,2,-1,0,1,4000,1,-
92,金手镯,4,23,208,装备,0,0,0,1,0,0,0,0,0,0,2,3,-1,0,1,6364,1,-
93,道士头盔,2,24,107,装备,0,0,0,0,0,0,0,0,1,2,2,3,-1,0,3,5000,1,-
94,传送戒指,6,12,173,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,20000,1,-
95,骑士手镯,4,39,210,装备,0,0,2,2,0,0,0,0,0,0,0,0,-1,0,1,15000,1,-
96,绿色项链,3,37,241,装备,0,0,2,5,0,0,0,0,0,0,0,0,-1,0,1,20000,1,-
97,凤凰明珠,3,17,244,装备,0,0,0,0,0,0,1,2,0,1,0,0,-1,0,1,1818,1,-
98,道士手镯,4,19,199,装备,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,3636,1,-
99,三眼手镯,4,22,209,装备,0,0,0,0,0,0,1,3,1,1,0,0,-1,0,1,10000,1,-
100,灵魂项链,3,23,240,装备,0,0,0,0,0,0,1,6,0,2,0,0,-1,0,1,18000,1,-
101,黑檀手镯,4,19,212,装备,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,3636,1,-
102,思贝儿手镯,4,26,211,装备,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,1,10000,1,-
103,恶魔铃铛,3,27,245,装备,0,0,0,0,0,7,0,0,0,2,0,0,-1,0,1,18000,1,-
104,麻痹戒指,6,16,169,装备,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,20000,1,-
105,复活戒指,6,16,176,装备,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,1,20000,1,-
106,火焰戒指,6,16,172,装备,0,0,0,0,1,2,0,0,0,0,0,0,-1,0,1,20000,1,-
107,防御戒指,6,16,168,装备,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,1,20000,1,-
108,求婚戒指,6,16,171,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,20000,1,-
109,护身戒指,6,16,177,装备,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,20000,1,-
110,超负载戒指,6,16,171,装备,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,20000,1,-
111,技巧项链,6,16,242,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,20000,1,-
112,狂风戒指,6,16,163,装备,0,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,20000,1,-
113,夏普儿手镯,4,16,205,装备,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,1,20000,1,-
114,狂风项链,3,19,229,装备,0,0,0,1,0,0,0,0,2,0,0,0,-1,0,1,20000,1,-
115,避邪手镯,4,19,201,装备,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,20000,1,-
116,探测项链,3,1,249,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,20000,1,-
117,无极棍,0,25,53,装备,0,0,8,16,0,0,3,5,0,0,0,0,-1,0,15,40000,1,-
118,血饮,0,27,54,装备,0,0,6,16,3,5,0,0,0,5,0,0,-1,0,12,40000,1,-
119,裁决之杖,0,30,56,装备,0,0,0,30,0,0,0,0,0,0,0,0,-1,0,80,50000,1,-
120,记忆戒指,6,26,179,装备,0,0,0,0,0,0,1,3,0,0,0,0,-1,0,1,10000,1,-
121,记忆项链,3,26,248,装备,0,0,2,4,0,0,0,0,0,0,0,0,-1,0,1,10000,1,-
122,记忆手镯,4,26,213,装备,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,10000,1,-
123,记忆头盔,2,26,110,装备,0,0,0,0,0,0,0,0,3,3,0,0,-1,0,7,10000,1,-
124,祈祷之刃,0,20,55,装备,0,0,8,20,0,0,0,0,0,3,0,1,-1,0,10,30000,1,-
125,祈祷手镯,4,15,214,装备,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,1,10000,1,-
126,祈祷项链,3,15,250,装备,0,0,0,0,0,0,0,4,0,0,0,0,-1,0,1,10000,1,-
127,祈祷戒指,6,15,180,装备,0,0,0,0,1,5,0,0,0,0,0,0,-1,0,1,10000,1,-
128,祈祷头盔,2,18,111,装备,0,0,0,0,0,0,0,0,3,4,1,2,-1,0,2,20000,1,-
129,生命项链,3,25,321,装备,0,0,0,0,1,5,0,0,0,1,0,0,-1,0,1,10000,1,-
130,力量戒指,6,46,337,装备,0,0,0,6,0,0,0,0,0,0,0,0,-1,0,3,20000,1,-
131,心灵手镯,4,24,329,装备,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,1,13000,1,-
132,黑铁头盔,2,46,345,装备,0,0,0,0,0,0,0,0,4,5,2,3,-1,0,20,40000,1,-
133,命运之刃,0,35,66,装备,0,0,12,30,0,0,0,0,0,0,0,0,-1,0,48,23000,1,-
134,屠龙,0,34,58,装备,0,0,5,35,0,0,0,0,0,2,0,0,-1,0,99,60000,1,-
135,骨玉权杖,0,35,60,装备,0,0,6,12,2,6,0,0,0,0,0,0,-1,0,20,50000,1,-
136,龙纹剑,0,35,57,装备,0,0,8,20,0,0,3,8,0,0,0,0,-1,0,40,50000,1,-
137,嗜魂法杖,0,35,59,装备,0,0,6,13,2,30,0,0,0,0,0,0,-1,0,26,50000,1,-
138,火把,-1,1,132,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,3,500,1,-
139,头盔,2,1,106,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,10,1,-
140,紫碧螺,6,24,184,装备,0,0,0,0,0,5,0,0,0,0,0,0,-1,0,2,15000,1,-
141,泰坦戒指,6,24,183,装备,0,0,0,0,0,0,2,6,0,0,0,0,-1,0,3,15000,1,-
142,幽灵手套,4,25,187,装备,0,0,0,0,0,0,0,0,0,3,0,0,-1,0,5,8000,1,-
143,阎罗手套,4,30,188,装备,0,0,0,0,0,0,0,0,0,4,0,0,-1,0,10,10000,1,-
144,龙之手镯,4,28,215,装备,0,0,0,0,0,3,0,0,0,0,0,0,-1,0,3,12000,1,-
145,天珠项链,3,22,219,装备,0,0,0,0,0,0,1,5,0,0,0,0,-1,0,1,10000,1,-
146,幽灵项链,3,24,220,装备,0,0,0,5,0,0,0,0,0,0,0,0,-1,0,1,10000,1,-
147,神秘戒指,6,18,182,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,1,-
148,神秘腰带,4,18,216,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,1,-
149,神秘头盔,2,18,112,装备,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10,1000,1,-
150,魔力手镯,4,20,291,装备,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,2,7273,1,-
151,赤血魔剑,0,35,67,装备,0,0,15,10,1,7,2,30,0,0,0,0,-1,0,22,100000,1,-
152,魔血戒指,6,33,431,装备,0,0,1,5,0,0,1,0,3,0,0,0,-1,0,2,10000,1,-
153,魔血手镯,4,33,430,装备,0,0,1,1,0,0,1,3,3,0,0,0,-1,0,2,10000,1,-
154,魔血项链,3,33,429,装备,0,0,0,0,1,6,0,0,2,0,0,0,-1,0,2,10000,1,-
155,虹魔戒指,6,33,434,装备,0,0,0,0,1,4,0,0,0,0,3,0,-1,0,2,10000,1,-
156,虹魔手镯,4,33,435,装备,0,0,2,1,0,0,0,0,0,0,3,0,-1,0,2,10000,1,-
157,虹魔项链,3,33,433,装备,0,0,1,3,0,0,1,5,0,0,2,0,-1,0,2,10000,1,-
158,战神盔甲(男),1,46,63,装备,0,0,0,0,0,0,0,0,5,9,3,5,0,0,45,35000,1,-
159,战神盔甲(女),1,46,83,装备,0,0,0,0,0,0,0,0,5,9,3,5,0,0,45,35000,1,-
160,幽灵战衣(男),1,27,65,装备,0,0,0,0,0,0,1,4,4,7,3,3,2,0,26,35000,1,-
161,幽灵战衣(女),1,27,85,装备,0,0,0,0,0,0,1,4,4,7,3,3,2,0,26,35000,1,-
162,恶魔长袍(男),1,28,64,装备,0,0,0,0,1,4,0,0,4,7,3,4,1,0,19,35000,1,-
163,恶魔长袍(女),1,28,84,装备,0,0,0,0,1,4,0,0,4,7,3,4,1,0,19,35000,1,-
164,中型盔甲(男),1,16,62,装备,0,0,0,0,0,0,0,0,3,5,1,2,-1,0,18,5500,1,-
165,中型盔甲(女),1,16,82,装备,0,0,0,0,0,0,0,0,3,5,1,2,-1,0,18,5500,1,-
166,圣战头盔,2,40,105,装备,0,0,0,2,0,0,0,0,4,5,2,5,-1,0,20,20000,1,-
167,圣战项链,3,40,230,装备,0,0,3,6,0,0,0,0,0,0,0,0,-1,0,2,20000,1,-
168,圣战手镯,4,40,197,装备,0,0,2,3,0,0,0,0,0,1,0,0,-1,0,2,20000,1,-
169,圣战戒指,6,40,148,装备,0,0,0,7,0,0,0,0,0,0,0,1,-1,0,2,20000,1,-
170,法神头盔,2,28,102,装备,0,0,0,0,0,2,0,0,4,5,2,3,-1,0,2,20000,1,-
171,法神项链,3,28,227,装备,0,0,0,0,1,8,0,0,1,2,0,0,-1,0,1,20000,1,-
172,法神手镯,4,28,198,装备,0,0,0,0,0,4,0,0,0,1,0,0,-1,0,1,20000,1,-
173,法神戒指,6,28,159,装备,0,0,0,0,1,6,0,0,0,0,0,1,-1,0,1,20000,1,-
174,天尊头盔,2,25,103,装备,0,0,0,0,0,0,0,2,4,5,2,3,-1,0,3,20000,1,-
175,天尊项链,3,25,235,装备,0,0,0,0,0,0,2,7,1,2,0,0,-1,0,1,20000,1,-
176,天尊手镯,4,25,196,装备,0,0,0,0,0,0,1,4,1,2,0,0,-1,0,1,20000,1,-
177,天尊戒指,6,25,158,装备,0,0,0,0,0,0,2,7,0,0,0,1,-1,0,1,20000,1,-
178,罗刹,0,1,41,装备,0,0,15,0,2,0,2,0,0,0,0,0,-1,0,3,10000,1,-
179,祈福项链,3,22,219,装备,0,0,1,5,1,5,1,5,0,0,0,0,-1,0,1,100,1,-
180,怒斩,0,56,71,装备,0,0,12,28,0,0,0,0,0,3,0,0,-1,0,85,85000,1,-
181,龙牙,0,40,70,装备,0,0,10,18,3,25,0,0,0,5,0,0,-1,0,25,85000,1,-
182,逍遥扇,0,45,72,装备,0,0,5,13,0,0,4,25,0,5,0,0,-1,0,45,85000,1,-
183,天魔神甲,1,40,86,装备,0,0,1,2,0,0,0,0,5,12,4,7,0,0,62,35000,1,-
184,圣战宝甲,1,40,89,装备,0,0,1,2,0,0,0,0,5,12,4,7,0,0,62,35000,1,-
185,法神披风,1,40,87,装备,0,0,0,0,2,5,0,0,4,9,4,6,1,0,21,35000,1,-
186,霓裳羽衣,1,40,90,装备,0,0,0,0,2,5,0,0,4,9,4,6,1,0,21,35000,1,-
187,天尊道袍,1,40,88,装备,0,0,0,0,0,0,2,5,4,9,4,6,2,0,37,35000,1,-
188,天师长袍,1,40,91,装备,0,0,0,0,0,0,2,5,4,9,4,6,2,0,37,35000,1,-
189,霸者之刃,0,46,66,装备,0,0,6,32,2,7,3,8,0,2,0,0,-1,0,28,80000,1,-
190,荣誉勋章1号,-1,10,394,装备,0,0,0,1,0,1,0,1,0,1,0,1,-1,0,1,100,1,-
191,荣誉勋章2号,-1,20,394,装备,0,0,0,2,0,2,0,2,0,2,0,2,-1,0,1,100,1,-
192,荣誉勋章3号,-1,25,394,装备,0,0,0,3,0,3,0,3,0,3,0,3,-1,0,1,100,1,-
193,荣誉勋章4号,-1,30,394,装备,0,0,0,4,0,4,0,4,0,4,0,4,-1,0,1,100,1,-
194,荣誉勋章5号,-1,35,394,装备,0,0,0,5,0,5,0,5,0,5,0,5,-1,0,1,100,1,-
195,荣誉勋章6号,-1,40,394,装备,0,0,0,6,0,6,0,6,0,6,0,6,-1,0,1,100,1,-
196,荣誉勋章11号,-1,10,394,装备,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,500,1,-
197,荣誉勋章12号,-1,10,394,装备,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,500,1,-
198,荣誉勋章13号,-1,10,394,装备,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,500,1,-
199,荣誉勋章14号,-1,10,394,装备,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,500,1,-
200,荣誉勋章15号,-1,10,394,装备,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,500,1,-
201,荣誉勋章21号,-1,20,394,装备,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,1,1000,1,-
202,荣誉勋章22号,-1,20,394,装备,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,1,1000,1,-
203,荣誉勋章23号,-1,20,394,装备,0,0,0,2,0,0,0,0,0,0,0,0,-1,0,1,1000,1,-
204,荣誉勋章24号,-1,20,394,装备,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,1,1000,1,-
205,荣誉勋章25号,-1,20,394,装备,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,1,1000,1,-
206,荣誉勋章31号,-1,30,394,装备,0,0,0,0,0,0,0,0,1,2,0,0,-1,0,1,1000,1,-
207,荣誉勋章32号,-1,30,394,装备,0,0,0,0,0,0,0,0,0,0,1,2,-1,0,1,1000,1,-
208,荣誉勋章33号,-1,30,394,装备,0,0,1,2,0,0,0,0,0,0,0,0,-1,0,1,1800,1,-
209,荣誉勋章34号,-1,30,394,装备,0,0,0,0,1,2,0,0,0,0,0,0,-1,0,1,1800,1,-
210,荣誉勋章35号,-1,30,394,装备,0,0,0,0,0,0,1,2,0,0,0,0,-1,0,1,1800,1,-
211,荣誉勋章41号,-1,40,394,装备,0,0,0,0,0,0,0,0,1,3,0,0,-1,0,1,1800,1,-
212,荣誉勋章42号,-1,40,394,装备,0,0,0,0,0,0,0,0,0,0,1,3,-1,0,1,1800,1,-
213,荣誉勋章43号,-1,40,394,装备,0,0,1,3,0,0,0,0,0,0,0,0,-1,0,1,3000,1,-
214,荣誉勋章44号,-1,40,394,装备,0,0,0,0,1,3,0,0,0,0,0,0,-1,0,1,3000,1,-
215,荣誉勋章45号,-1,40,394,装备,0,0,0,0,0,0,1,3,0,0,0,0,-1,0,1,3000,1,-
216,战神油,-1,1,3,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,9999999,-
217,祝福油,-1,1,27,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,9999999,可以给武器增加幸运
218,修复油,-1,1,28,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,800,9999999,-
219,铜矿,-1,1,287,道具,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4,10000,9999999,回收价格1000金币
220,铁矿,-1,1,282,道具,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4,20000,9999999,回收价格2000金币
221,银矿,-1,1,286,道具,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4,50000,9999999,回收价格5000金币
222,金矿,-1,1,281,道具,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4,100000,9999999,回收价格10000金币
223,黑铁矿石,-1,1,285,道具,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,4,2000,9999999,升级装备所用到的矿石
224,金条,-1,1,118,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10,10000,9999999,使用后获得100万金币
225,金砖,-1,1,122,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,52,10000,9999999,使用后获得500万金币
226,金盒,-1,1,123,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,110,10000,9999999,使用后获得1000万金币
227,龙骨刀,0,35,743,装备,0,0,0,28,0,6,0,5,0,0,0,0,-1,0,12,20000,1,-
228,龙骨甲(男),1,35,741,装备,0,0,1,1,1,4,1,4,4,9,3,5,-1,0,20,40000,1,-
229,龙骨甲(女),1,35,742,装备,0,0,1,1,1,4,1,4,4,9,3,5,-1,0,20,40000,1,-
230,龙骨盔,2,35,744,装备,0,0,0,0,0,0,0,0,5,6,0,0,-1,0,3,20000,1,-
231,龙骨链,3,35,228,装备,0,0,1,5,0,6,0,6,0,0,0,0,-1,0,1,20000,1,-
232,龙骨镯,4,35,202,装备,0,0,0,1,0,1,0,1,0,4,0,0,-1,0,1,20000,1,-
233,龙骨戒,6,35,161,装备,0,0,1,5,1,4,1,5,0,0,0,0,-1,0,1,20000,1,-
234,强化攻击,-1,5,1,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,9999999,-
235,强化魔法,-1,5,1,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,9999999,-
236,强化道术,-1,5,1,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,9999999,-
237,强化生命,-1,5,1,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,9999999,-
238,强化防御,-1,5,1,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,9999999,-
239,强化魔防,-1,5,1,消耗,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1000,9999999,-
240,布鞋,9,15,561,装备,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,10000,1,-
241,鹿皮靴,9,22,562,装备,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,1,10000,1,-
242,紫绸靴,9,30,563,装备,0,0,0,0,0,0,0,0,0,3,0,0,-1,0,1,10000,1,-
243,避魂靴,9,35,564,装备,0,0,0,0,0,0,0,0,1,3,0,0,-1,0,2,10000,1,-
244,兽皮腰带,8,15,551,装备,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,20000,1,-
