index,file,size,used_by_funcs,module_guess,mainscreen_hit,hit_score
00078,00078.png,4x4,,,,
00079,00079.png,4x4,,,,
00080,00080.png,4x4,,,,
00081,00081.jpg,550x385,0x501c2b,,,
00082,00082.jpg,488x249,0x4a5726,?,,
00083,00083.jpg,488x249,0x4a5726,?,,
00084,00084.jpg,254x32,,,,
00085,00085.gif,35x49,0x41ead3,HUD动画帧,125),1.0
00086,00086.gif,35x49,0x41ead3,HUD动画帧,124),1.0
00087,00087.gif,35x49,0x41ead3,HUD动画帧,125),1.0
00088,00088.gif,35x49,0x41ead3,HUD动画帧,124),1.0
00089,00089.png,4x4,,,,
00090,00090.png,4x4,,,,
00091,00091.jpg,327x170,,,,
00092,00092.jpg,327x170,,,,
00093,00093.gif,745x178,,,,
00094,00094.png,4x4,,,,
00095,00095.png,4x4,,,,
00096,00096.png,4x4,,,,
00097,00097.png,4x4,,,,
00098,00098.png,4x4,,,,
00099,00099.png,4x4,,,,
00100,00100.png,19x24,,,376),1.1
00101,00101.png,19x24,,,,
00102,00102.png,19x24,,,,
00103,00103.png,19x24,,,163),1.1
00104,00104.png,19x24,,,100),0.9
00105,00105.png,19x24,,,421),1.1
00106,00106.png,19x24,,,,
00107,00107.png,19x24,,,,
00108,00108.png,19x24,,,146),1.1
00109,00109.png,19x24,,,124),0.9
00110,00110.png,55x33,0x4b6511,排行榜相关,,
00111,00111.png,32x31,,,125),2.0
00112,00112.png,32x31,,,,
00113,00113.png,32x31,,,310),1.0
00114,00114.png,32x31,,,122),1.0
00115,00115.png,32x31,,,545),1.0
00116,00116.png,32x31,,,498),1.0
00117,00117.png,38x37,,,,
00118,00118.png,38x37,,,,
00119,00119.png,38x37,,,,
00120,00120.png,38x37,,,,
00121,00121.gif,170x250,0x4850f8,?,,
00122,00122.gif,170x250,0x489dff,洗炼窗,,
00123,00123.gif,544x195,,,,
00124,00124.png,4x4,,,,
00125,00125.png,4x4,,,,
00126,00126.png,4x4,,,,
00127,00127.png,4x4,,,,
00128,00128.png,4x4,,,,
00129,00129.png,4x4,,,,
00130,00130.png,4x4,,,,
00131,00131.gif,745x429,,,,
00132,00132.png,735x30,0x46f1ab; 0x496d99; 0x4a2c59; 0x4de2a3; 0x4e2f8b; 0x50073e; 0x50b7da,焦点标志(通用选中),,
00133,00133.png,735x30,,,,
00134,00134.png,735x30,0x46f1ab; 0x496d99; 0x4a2c59; 0x4de2a3; 0x4e2f8b; 0x50073e; 0x50b7da,选中标志(通用选中),,
00135,00135.png,4x4,,,,
00136,00136.png,4x4,,,,
00137,00137.png,4x4,,,,
00138,00138.png,4x4,,,,
00139,00139.png,4x4,,,,
00140,00140.png,4x4,,,,
00141,00141.png,34x15,,,,
00142,00142.png,34x15,,,,
00143,00143.png,34x15,,,,
00144,00144.png,34x15,,,,
00145,00145.png,34x15,,,,
00146,00146.png,34x15,,,,
00147,00147.png,34x15,,,,
00148,00148.png,34x15,,,,
00149,00149.png,34x15,,,,
00150,00150.png,34x15,,,,
00151,00151.png,34x15,,,,
00152,00152.png,34x15,,,,
00153,00153.png,34x15,,,,
00154,00154.png,34x15,,,,
00155,00155.png,34x15,,,,
00156,00156.png,34x15,,,,
00157,00157.png,34x15,,,,
00158,00158.png,34x15,,,,
00159,00159.png,34x15,,,,
00160,00160.png,34x15,,,,
00161,00161.png,4x4,,,,
00162,00162.png,4x4,,,,
00163,00163.png,4x4,,,,
00164,00164.png,4x4,,,,
00165,00165.png,4x4,,,,
00166,00166.png,4x4,,,,
00167,00167.png,4x4,,,,
00168,00168.png,4x4,,,,
00169,00169.png,4x4,,,,
00170,00170.png,4x4,,,,
00171,00171.png,521x26,0x49b4a3,列表行,,
00172,00172.png,521x26,,,,
00173,00173.png,521x26,0x49b4a3,列表行,,
00174,00174.png,4x4,,,,
00175,00175.png,4x4,,,,
00176,00176.gif,170x250,0x489dff,洗炼/升级窗,,
00177,00177.gif,170x250,0x489dff,洗炼/升级窗,,
00178,00178.gif,527x380,0x48ef63,装备强化组,,
00179,00179.gif,527x380,0x48ef63,装备强化组,,
00180,00180.jpg,514x140,,,,
00181,00181.gif,513x109,,,,
00182,00182.gif,522x283,0x48ef63,装备强化组,,
00183,00183.jpg,483x107,0x4b6511; 0x4bc48d; 0x4bf5fb; 0x4d9f83; 0x4df974; 0x4ee604; 0x505893,列表行背景(通用),,
00184,00184.gif,544x195,,,,
00185,00185.gif,544x195,,,,
00186,00186.gif,544x195,,,,
00187,00187.png,4x4,,,,
00188,00188.png,4x4,,,,
00189,00189.png,4x4,,,,
00190,00190.png,4x4,,,,
00191,00191.png,250x80,0x4ab59a,转生/角色信息窗,,
00192,00192.jpg,14x14,,,632),1.1
00193,00193.jpg,14x14,0x4e2f8b; 0x50073e,已读标识(邮件/消息),,
00194,00194.jpg,14x14,,,632),1.1
00195,00195.jpg,14x14,,,,
00196,00196.jpg,14x14,,,,
00197,00197.png,4x4,,,,
00198,00198.png,4x4,,,,
00199,00199.png,4x4,,,,
00200,00200.png,4x4,,,,
00201,00201.jpg,483x328,,,,
00202,00202.gif,260x433,0x49de02,页签/按钮组,,
00203,00203.gif,483x144,0x49de02,页签/按钮组,,
00204,00204.gif,260x433,0x49de02,页签/按钮组,,
00205,00205.gif,483x328,0x49de02,页签/按钮组,,
00206,00206.png,55x33,0x4d9f83,排行/列表行,,
00207,00207.gif,515x472,0x4cd254,按钮组,,
00208,00208.jpg,226x50,0x4cd254,按钮组,,
00209,00209.gif,260x433,0x49de02,页签/按钮组,,
00210,00210.gif,17x19,0x4d4c47,格子/行,,
00211,00211.png,45x43,0x476d91; 0x47deb0; 0x48cfb8; 0x4d4c47; 0x4f36a9; 0x4fb654; 0x505893; 0x5077c6,物品格子(通用),,
00212,00212.jpg,636x401,0x48bb79; 0x4d2755; 0x4f2625,格子/行,,
00213,00213.jpg,746x475,0x4d2755,格子/行,,
00214,00214.png,45x43,0x4d4c47,格子/行,,
00215,00215.png,4x4,,,,
00216,00216.png,4x4,,,,
00217,00217.png,4x4,,,,
00218,00218.png,4x4,,,,
00219,00219.png,4x4,,,,
00220,00220.png,4x4,,,,
00221,00221.png,37x37,,,,
00222,00222.png,37x37,,,,
00223,00223.png,37x37,,,,
00224,00224.png,37x37,,,,
00225,00225.png,37x37,,,,
00226,00226.png,37x37,,,,
00227,00227.png,37x37,,,,
00228,00228.png,37x37,,,,
00229,00229.png,37x37,,,,
00230,00230.png,37x37,,,,
00231,00231.png,37x37,,,,
00232,00232.png,37x37,,,,
00233,00233.png,37x37,,?,,
00234,00234.png,37x37,,,,
00235,00235.gif,170x250,0x489dff,洗炼/勋章窗,,
00236,00236.gif,544x195,,,,
00237,00237.gif,360x99,0x4e5fe2; 0x4fb654,城池图底,,
00238,00238.jpg,746x475,0x48bb79,格子/行,,
00239,00239.png,55x33,0x4bf5fb,排行行,,
00240,00240.gif,170x250,0x489dff,装备升级窗,,
00241,00241.gif,544x195,,,63),0.9
00242,00242.gif,170x250,0x489dff,勋章升级窗,,
00243,00243.gif,544x195,,,,
00244,00244.png,45x43,0x507713,?,,
00245,00245.gif,483x367,0x505893,?,,
00246,00246.jpg,257x55,0x505893,?,,
00247,00247.gif,170x250,0x489dff,幸运传承窗,,
00248,00248.gif,544x195,,,,
00249,00249.jpg,745x475,0x476d91,?,,
00250,00250.png,55x33,0x4bc48d,排行行,,
00251,00251.jpg,395x527,0x4a4db6,?,,
00252,00252.gif,170x250,0x489dff,黑铁升级窗,,
00253,00253.gif,544x195,,,,
00254,00254.gif,170x250,0x489dff,符文吞噬窗,,
00255,00255.png,26x32,0x47acb6,格子锁标志,,
00256,00256.jpg,746x475,0x4f2625,城池图,,
00257,00257.png,120x170,0x4e9b67,?,,
00258,00258.png,120x170,,,,
00259,00259.png,120x170,0x4e9b67,?,,
00260,00260.gif,170x250,0x489dff,天赋转换窗,,
00261,00261.gif,544x195,,,64),0.9
00262,00262.gif,707x340,,,,
00263,00263.jpg,707x336,,,,
00264,00264.jpg,707x336,0x43a815,HUD右侧按钮,,
00265,00265.jpg,707x336,0x43a815,HUD右侧按钮,,
00266,00266.jpg,279x439,0x4c283b,?,,
00267,00267.jpg,444x132,,,,
00268,00268.gif,745x429,0x50aeac,?,,
00269,00269.jpg,444x179,0x4c283b,?,,
00270,00270.gif,260x433,0x4fda8e,?,,
00271,00271.jpg,375x58,0x4fda8e,?,,
00272,00272.gif,547x198,0x4b5a69,?,,
00273,00273.jpg,550x200,0x427157,?,,
00274,00274.jpg,188x250,0x4a4db6,?,,
