id,recipe,item,count
164,formation_spirit_gathering,talisman_guard,1
165,formation_golden_light,spirit_jade,3
166,formation_golden_light,qi_pill,1
167,formation_mist,yin_lingzhi,2
168,formation_mist,talisman_swiftness,1
169,formation_minor_spirit_gathering,azure_stone,3
170,formation_minor_spirit_gathering,spirit_flower,2
171,formation_minor_spirit_gathering,stones,8
172,formation_vitality,cold_iron,2
173,formation_vitality,talisman_heal,1
174,formation_vitality,stones,10
175,formation_sharp,star_silver,3
176,formation_sharp,talisman_blaze,1
177,formation_sharp,stones,12
178,formation_armor,cold_iron,3
179,formation_armor,jade_crab,1
180,formation_armor,stones,15
181,formation_five_elements,violet_crystal,2
182,formation_five_elements,thunder_gold,1
183,formation_five_elements,stones,18
184,formation_binding,talisman_demonbane,1
185,formation_binding,talisman_thunder,1
186,formation_binding,stones,22
187,formation_stars,primordial_marrow,2
188,formation_stars,heavenly_essence,3
189,formation_stars,stones,30
