id,map,name,image,hp,atk,def,xp,stone,mat,interval,drop,scale
35,11,墨甲毒蝎,danger_poison_scorpion.png,1080.0,59.0,18.0,300,65,12,1.15,drop_35,1.5500000000000003
36,12,雷角石犀,danger_thunder_rhino.png,1900.0,68.0,27.0,410,82,16,1.45,drop_36,1.25
37,12,电羽妖隼,danger_thunder_falcon.png,1520.0,78.0,20.0,430,88,15,1.0,drop_37,1.45
38,12,玄雷傀儡,danger_thunder_golem.png,2200.0,72.0,32.0,465,94,18,1.6,drop_38,1.65
39,13,血瞳妖狐,danger_blood_moon_fox.png,2750.0,92.0,32.0,560,112,21,1.05,drop_39,1.35
40,13,枯骨夜叉,danger_blood_moon_yaksha.png,3300.0,88.0,43.0,610,120,24,1.35,drop_40,1.55
41,13,赤月尸将,danger_blood_moon_general.png,3700.0,98.0,48.0,660,130,26,1.4,drop_41,1.75
42,14,引魂灯鬼,danger_ghost_ferry_lantern.png,4300.0,132.0,50.0,830,158,28,1.0,drop_42,1.4500000000000002
43,14,沉江水尸,danger_ghost_ferry_drowned.png,5200.0,125.0,65.0,890,170,32,1.4,drop_43,1.6500000000000001
44,14,冥舟鬼使,danger_ghost_ferry_emissary.png,4850.0,145.0,58.0,930,182,31,1.15,drop_44,1.85
45,15,影翼蝠妖,danger_black_wind_bat.png,6900.0,188.0,68.0,1220,225,38,0.9,drop_45,1.55
46,15,黑曜石傀,danger_black_wind_golem.png,9000.0,172.0,105.0,1350,248,45,1.55,drop_46,1.75
47,15,风刃妖侯,danger_black_wind_lord.png,7900.0,205.0,82.0,1410,260,42,1.05,drop_47,1.9500000000000002
48,16,灰烬骨蛇,danger_ember_bone_snake.png,16000.0,310.0,125.0,2450,420,66,0.95,drop_48,1.6500000000000001
49,16,火泽毒蜈,danger_ember_bone_centipede.png,18500.0,295.0,150.0,2600,448,72,1.15,drop_49,1.85
50,16,焚骨邪修,danger_ember_bone_cultivator.png,17300.0,335.0,135.0,2740,470,70,1.0,drop_50,2.0500000000000003
51,17,罡风灵隼,danger_heavenly_wind_falcon.png,33500.0,455.0,180.0,4100,690,105,0.8,drop_51,1.75
52,17,裂空螳螂,danger_heavenly_wind_mantis.png,38000.0,480.0,205.0,4400,730,115,0.9,drop_52,1.95
53,17,驭风道傀,danger_heavenly_wind_puppet.png,45000.0,430.0,255.0,4700,780,125,1.25,drop_53,2.15
54,18,噬光水母,danger_sunken_star_jellyfish.png,65000.0,630.0,270.0,6700,1080,165,0.85,drop_54,1.85
55,18,星甲巨蟹,danger_sunken_star_crab.png,85000.0,580.0,380.0,7300,1170,190,1.4,drop_55,2.0500000000000003
56,18,海墟鲛将,danger_sunken_star_merman.png,74000.0,680.0,315.0,7600,1240,180,1.0,drop_56,2.25
57,19,云噬妖鲲,danger_broken_sky_kun.png,118000.0,850.0,390.0,10800,1700,255,0.95,drop_57,1.9500000000000002
58,19,雷羽鹏妖,danger_broken_sky_roc.png,105000.0,930.0,350.0,11300,1820,250,0.8,drop_58,2.1500000000000004
59,19,守岛天傀,danger_broken_sky_puppet.png,145000.0,820.0,510.0,12100,1950,285,1.3,drop_59,2.35
60,20,玄霜古蛟,extreme_frost_dragon.png,1300.0,46.0,16.0,330,75,14,1.25,drop_60,1.2
61,21,吞海玄鲲,extreme_abyss_kun.png,4200.0,105.0,42.0,950,210,36,1.3,drop_61,1.3499999999999999
62,22,无面冥君,extreme_faceless_lord.png,10500.0,205.0,85.0,2100,430,68,1.1,drop_62,1.5
63,23,焚岳炎君,extreme_heavenfire_lord.png,22000.0,340.0,145.0,3900,760,110,1.05,drop_63,1.65
64,24,无相天魔,extreme_formless_demon.png,42000.0,510.0,220.0,6500,1180,165,1.0,drop_64,1.7999999999999998
65,25,裂空古兽,extreme_void_beast.png,76000.0,720.0,310.0,10200,1850,235,0.95,drop_65,1.95
66,26,两仪战帝,extreme_yinyang_emperor.png,128000.0,970.0,420.0,15500,2800,330,0.9,drop_66,2.0999999999999996
67,27,万法道傀,extreme_dharma_puppet.png,205000.0,1260.0,550.0,23000,4100,440,0.85,drop_67,2.25
68,28,雷劫使者,extreme_tribulation_emissary.png,420000.0,1480.0,620.0,45000,7000,650,0.8,drop_68,2.4
