id,name,picture,pirce,aclass,bclass,cclass,overlap,weight,lvl,d2,e2,a1,a2,d1,e1,job,b2,c2,c1,b1,need,present,hp,mp,met,f1,exp,fj
109,护身戒指,177,20000,装备,戒指,护身,,1,16,1,,,,,,,,,,,,,,,,,,
110,超负载戒指,171,20000,装备,戒指,,,1,16,,,,1,,,,,,,,,,,,,,,
111,技巧项链,242,20000,装备,戒指,,,1,16,,,,,,,,,,,,,,,,,,,
112,狂风戒指,163,20000,装备,戒指,,,1,16,,,,1,1,,,,,,,,,,,,,,
113,夏普儿手镯,205,20000,装备,手镯,,,1,16,2,,,,,,,,,,,,,,,,,,
114,狂风项链,229,20000,装备,项链,,,1,19,,,,1,2,,,,,,,,,,,,,,
115,避邪手镯,201,20000,装备,手镯,,,1,19,,2,,,,,,,,,,,,,,,,,
116,探测项链,249,20000,装备,项链,,,1,1,,,,,,,,,,,,,,,,,,,
117,无极棍,53,40000,装备,武器,,,15,25,,,8,16,,,,,5,3,,3,,,,,,,
118,血饮,54,40000,装备,武器,,,12,27,5,,6,16,,,,5,,,3,2,,,,,,,
119,裁决之杖,56,50000,装备,武器,,,80,30,,,,30,,,,,,,,,,,,,,,
120,记忆戒指,179,10000,装备,戒指,,,1,26,,,,,,,,,3,1,,,,,,,,,
121,记忆项链,248,10000,装备,项链,,,1,26,,,2,4,,,,,,,,,,,,,,,
122,记忆手镯,213,10000,装备,手镯,,,1,26,,,,,,,,1,,,1,,,,,,,,
123,记忆头盔,110,10000,装备,头盔,,,7,26,3,,,,3,,,,,,,,,,,,,,
124,祈祷之刃,55,30000,装备,武器,,,10,20,3,1,8,20,,,,,,,,,,,,,,,
125,祈祷手镯,214,10000,装备,手镯,,,1,15,,,,2,,,,,,,,,,,,,,,
126,祈祷项链,250,10000,装备,项链,,,1,15,,,,,,,,,4,,,,,,,,,,
127,祈祷戒指,180,10000,装备,戒指,,,1,15,,,,,,,,5,,,1,,,,,,,,
128,祈祷头盔,111,20000,装备,头盔,,,2,18,4,2,,,3,1,,,,,,,,,,,,,
129,生命项链,321,10000,装备,项链,,,1,25,1,,,,,,,5,,,1,2,,,,,,,
130,力量戒指,337,20000,装备,戒指,,,3,46,,,,6,,,,,,,,1,,,,,,,
131,心灵手镯,329,13000,装备,手镯,,,1,24,,,,,,,,,2,1,,3,,,,,,,
132,黑铁头盔,345,40000,装备,头盔,,,20,46,5,3,,,4,2,,,,,,1,,,,,,,
133,命运之刃,66,23000,装备,武器,,,48,35,,,12,30,,,,,,,,,,,,,,,
134,屠龙,58,60000,装备,武器,,,99,34,2,,5,35,,,,,,,,,,,,,,,
135,骨玉权杖,60,50000,装备,武器,,,20,35,,,6,12,,,,6,,,2,,,,,,,,
136,龙纹剑,57,50000,装备,武器,,,40,35,,,8,20,,,,,8,3,,,,,,,,,
137,嗜魂法杖,59,50000,装备,武器,,,26,35,,,6,13,,,,30,,,2,,,,,,,,
138,火把,132,500,装备,勋章,,,3,,,,,,,,,,,,,,,,,,,,
139,头盔,106,10,装备,头盔,,,5,1,,,,,,,,,,,,,,,,,,,
140,紫碧螺,184,15000,装备,戒指,,,2,24,,,,,,,,5,,,,2,,,,,,,
141,泰坦戒指,183,15000,装备,戒指,,,3,24,,,,,,,,,6,2,,3,,,,,,,
142,幽灵手套,187,8000,装备,手镯,,,5,25,3,,,,,,,,,,,,,,,,,,
143,阎罗手套,188,10000,装备,手镯,,,10,30,4,,,,,,,,,,,,,,,,,,
144,龙之手镯,215,12000,装备,手镯,,,3,28,,,,,,,,3,,,,2,,,,,,,
145,天珠项链,219,10000,装备,项链,,,1,22,,,,,,,,,5,1,,3,,,,,,,
146,幽灵项链,220,10000,装备,项链,,,1,24,,,,5,,,,,,,,,,,,,,,
147,神秘戒指,182,1000,装备,戒指,,,1,18,,,,,,,,,,,,,,,,,,,
148,神秘腰带,216,1000,装备,手镯,,,1,18,,,,,,,,,,,,,,,,,,,
149,神秘头盔,112,1000,装备,头盔,,,10,18,,,,,,,,,,,,,,,,,,,
150,魔力手镯,291,7273,装备,手镯,,,2,20,,,,1,,,,,,,,,,,,,,,
151,赤血魔剑,67,100000,装备,武器,,,22,35,,,15,10,,,,7,30,2,1,,,,,,,,
152,魔血戒指,431,10000,装备,戒指,,,2,33,,,1,5,3,,,,,1,,,,,,,,,
153,魔血手镯,430,10000,装备,手镯,,,2,33,,,1,1,3,,,,3,1,,,,,,,,,
154,魔血项链,429,10000,装备,项链,,,2,33,,,,,2,,,6,,,1,,,,,,,,
155,虹魔戒指,434,10000,装备,戒指,,,2,33,,,,,,3,,4,,,1,,,,,,,,
156,虹魔手镯,435,10000,装备,手镯,,,2,33,,,2,1,,3,,,,,,,,,,,,,
157,虹魔项链,433,10000,装备,项链,,,2,33,,,1,3,,2,,,5,1,,,,,,,,,
158,战神盔甲(男),63,35000,装备,衣服,1,,45,46,9,5,,,5,3,1,,,,,1,,,,,,,
159,战神盔甲(女),83,35000,装备,衣服,2,,45,46,9,5,,,5,3,1,,,,,1,,,,,,,
160,幽灵战衣(男),65,35000,装备,衣服,1,,26,27,7,3,,,4,3,3,,4,1,,3,,,,,,,
161,幽灵战衣(女),85,35000,装备,衣服,2,,26,27,7,3,,,4,3,3,,4,1,,3,,,,,,,
162,恶魔长袍(男),64,35000,装备,衣服,1,,19,28,7,4,,,4,3,2,4,,,1,2,,,,,,,
163,恶魔长袍(女),84,35000,装备,衣服,2,,19,28,7,4,,,4,3,2,4,,,1,2,,,,,,,
164,中型盔甲(男),62,5500,装备,衣服,1,,18,16,5,2,,,3,1,,,,,,,,,,,,,
165,中型盔甲(女),82,5500,装备,衣服,2,,18,16,5,2,,,3,1,,,,,,,,,,,,,
166,圣战头盔,105,20000,装备,头盔,,,20,40,5,5,,2,4,2,,,,,,1,,,,,,,
167,圣战项链,230,20000,装备,项链,,,2,40,,,3,6,,,,,,,,1,,,,,,,
168,圣战手镯,197,20000,装备,手镯,,,2,40,1,,2,3,,,,,,,,1,,,,,,,
169,圣战戒指,148,20000,装备,戒指,,,2,40,,1,,7,,,,,,,,1,,,,,,,
170,法神头盔,102,20000,装备,头盔,,,2,28,5,3,,,4,2,,2,,,,2,,,,,,,
171,法神项链,227,20000,装备,项链,,,1,28,2,,,,1,,,8,,,1,2,,,,,,,
172,法神手镯,198,20000,装备,手镯,,,1,28,1,,,,,,,4,,,,2,,,,,,,
173,法神戒指,159,20000,装备,戒指,,,1,28,,1,,,,,,6,,,1,2,,,,,,,
174,天尊头盔,103,20000,装备,头盔,,,3,25,5,3,,,4,2,,,2,,,3,,,,,,,
175,天尊项链,235,20000,装备,项链,,,1,25,2,,,,1,,,,7,2,,3,,,,,,,
176,天尊手镯,196,20000,装备,手镯,,,1,25,2,,,,1,,,,4,1,,3,,,,,,,
177,天尊戒指,158,20000,装备,戒指,,,1,25,,1,,,,,,,7,2,,3,,,,,,,
178,罗刹,41,10000,装备,武器,,,3,1,,,15,,,,,,,2,2,,,,,,,,
179,祈福项链,219,100,装备,项链,,,1,22,,,1,5,,,,5,5,1,1,3,,,,,,,
180,怒斩,71,85000,装备,武器,,,85,56,3,,12,28,,,,,,,,1,,,,,,,
181,龙牙,70,85000,装备,武器,,,25,40,5,,10,18,,,,25,,,3,2,,,,,,,
182,逍遥扇,72,85000,装备,武器,,,45,45,5,,5,13,,,,,25,4,,3,,,,,,,
183,天魔神甲,86,35000,装备,衣服,1,,62,40,12,7,1,2,5,4,1,,,,,,,,,,,,
184,圣战宝甲,89,35000,装备,衣服,2,,62,40,12,7,1,2,5,4,1,,,,,,,,,,,,
185,法神披风,87,35000,装备,衣服,1,,21,40,9,6,,,4,4,2,5,,,2,,,,,,,,
186,霓裳羽衣,90,35000,装备,衣服,2,,21,40,9,6,,,4,4,2,5,,,2,,,,,,,,
187,天尊道袍,88,35000,装备,衣服,1,,37,40,9,6,,,4,4,3,,5,2,,,,,,,,,
188,天师长袍,91,35000,装备,衣服,2,,37,40,9,6,,,4,4,3,,5,2,,,,,,,,,
189,霸者之刃,66,80000,装备,武器,,,28,46,2,,6,32,,,,7,8,3,2,,,,,,,,
190,荣誉勋章1号,394,100,装备,勋章,,,1,10,1,1,,1,,,,1,1,,,,,,,,,,
191,荣誉勋章2号,394,100,装备,勋章,,,1,20,2,2,,2,,,,2,2,,,,,,,,,,
192,荣誉勋章3号,394,100,装备,勋章,,,1,25,3,3,,3,,,,3,3,,,,,,,,,,
193,荣誉勋章4号,394,100,装备,勋章,,,1,30,4,4,,4,,,,4,4,,,,,,,,,,
194,荣誉勋章5号,394,100,装备,勋章,,,1,35,5,5,,5,,,,5,5,,,,,,,,,,
195,荣誉勋章6号,394,100,装备,勋章,,,1,40,6,6,,6,,,,6,6,,,,,,,,,,
196,荣誉勋章11号,394,500,装备,勋章,,,1,10,1,,,,,,,,,,,,,,,,,,
197,荣誉勋章12号,394,500,装备,勋章,,,1,10,,1,,,,,,,,,,,,,,,,,
198,荣誉勋章13号,394,500,装备,勋章,,,1,10,,,,1,,,,,,,,,,,,,,,
199,荣誉勋章14号,394,500,装备,勋章,,,1,10,,,,,,,,1,,,,,,,,,,,
200,荣誉勋章15号,394,500,装备,勋章,,,1,10,,,,,,,,,1,,,,,,,,,,
201,荣誉勋章21号,394,1000,装备,勋章,,,1,20,2,,,,,,,,,,,,,,,,,,
202,荣誉勋章22号,394,1000,装备,勋章,,,1,20,,2,,,,,,,,,,,,,,,,,
203,荣誉勋章23号,394,1000,装备,勋章,,,1,20,,,,2,,,,,,,,,,,,,,,
204,荣誉勋章24号,394,1000,装备,勋章,,,1,20,,,,,,,,2,,,,,,,,,,,
205,荣誉勋章25号,394,1000,装备,勋章,,,1,20,,,,,,,,,2,,,,,,,,,,
206,荣誉勋章31号,394,1000,装备,勋章,,,1,30,2,,,,1,,,,,,,,,,,,,,
207,荣誉勋章32号,394,1000,装备,勋章,,,1,30,,2,,,,1,,,,,,,,,,,,,
208,荣誉勋章33号,394,1800,装备,勋章,,,1,30,,,1,2,,,,,,,,,,,,,,,
209,荣誉勋章34号,394,1800,装备,勋章,,,1,30,,,,,,,,2,,,1,,,,,,,,
210,荣誉勋章35号,394,1800,装备,勋章,,,1,30,,,,,,,,,2,1,,,,,,,,,
211,荣誉勋章41号,394,1800,装备,勋章,,,1,40,3,,,,1,,,,,,,,,,,,,,
212,荣誉勋章42号,394,1800,装备,勋章,,,1,40,,3,,,,1,,,,,,,,,,,,,
213,荣誉勋章43号,394,3000,装备,勋章,,,1,40,,,1,3,,,,,,,,,,,,,,,
214,荣誉勋章44号,394,3000,装备,勋章,,,1,40,,,,,,,,3,,,1,,,,,,,,
215,荣誉勋章45号,394,3000,装备,勋章,,,1,40,,,,,,,,,3,1,,,,,,,,,
216,战神油,3,1000,消耗,战神油,,9999999,1,,,,,,,,,,,,,,,,,,,,
217,祝福油,27,1000,消耗,祝福油,,9999999,1,,,,,,,,,,,,,,可以给武器增加幸运,,,,,,
218,修复油,28,800,消耗,修复油,,9999999,1,,,,,,,,,,,,,,,,,,,,
219,铜矿,287,10000,道具,矿石,,9999999,4,,,,,,,,,,,,,,回收价格1000金币,,,,,,
220,铁矿,282,20000,道具,矿石,,9999999,4,,,,,,,,,,,,,,回收价格2000金币,,,,,,
221,银矿,286,50000,道具,矿石,,9999999,4,,,,,,,,,,,,,,回收价格5000金币,,,,,,
222,金矿,281,100000,道具,矿石,,9999999,4,,,,,,,,,,,,,,回收价格10000金币,,,,,,
223,黑铁矿石,285,2000,道具,黑铁,矿,9999999,4,,,,,,,,,,,,,,升级装备所用到的矿石,,,,,,
224,金条,118,10000,消耗,属性,金币,9999999,10,,,,,,,,,,,,,,使用后获得100万金币,1,1000000,,,,
225,金砖,122,10000,消耗,属性,金币,9999999,52,,,,,,,,,,,,,,使用后获得500万金币,1,5000000,,,,
226,金盒,123,10000,消耗,属性,金币,9999999,110,,,,,,,,,,,,,,使用后获得1000万金币,1,10000000,,,,
227,龙骨刀,743,20000,装备,武器,,,12,35,,,,28,,,,6,5,,,,,,,,,,
228,龙骨甲(男),741,40000,装备,衣服,1,,20,35,9,5,1,1,4,3,,4,4,1,1,,,,,,,,
229,龙骨甲(女),742,40000,装备,衣服,2,,20,35,9,5,1,1,4,3,,4,4,1,1,,,,,,,,
230,龙骨盔,744,20000,装备,头盔,,,3,35,6,,,,5,,,,,,,,,,,,,,
231,龙骨链,228,20000,装备,项链,,,1,35,,,1,5,,,,6,6,,,,,,,,,,
232,龙骨镯,202,20000,装备,手镯,,,1,35,4,,,1,,,,1,1,,,,,,,,,,
233,龙骨戒,161,20000,装备,戒指,,,1,35,,,1,5,,,,4,5,1,1,,,,,,,,
234,强化攻击,1,1000,消耗,技能,,9999999,1,5,,,,,,,,,,,,,,1,1,,,,
235,强化魔法,1,1000,消耗,技能,,9999999,1,5,,,,,,,,,,,,,,2,1,,,,
236,强化道术,1,1000,消耗,技能,,9999999,1,5,,,,,,,,,,,,,,3,1,,,,
237,强化生命,1,1000,消耗,技能,,9999999,1,5,,,,,,,,,,,,,,4,1,,,,
238,强化防御,1,1000,消耗,技能,,9999999,1,5,,,,,,,,,,,,,,5,1,,,,
239,强化魔防,1,1000,消耗,技能,,9999999,1,5,,,,,,,,,,,,,,6,1,,,,
240,布鞋,561,10000,装备,靴子,,,1,15,1,,,,,,,,,,,,,,,,,,
241,鹿皮靴,562,10000,装备,靴子,,,1,22,2,,,,,,,,,,,,,,,,,,
242,紫绸靴,563,10000,装备,靴子,,,1,30,3,,,,,,,,,,,,,,,,,,
243,避魂靴,564,10000,装备,靴子,,,2,35,3,,,,1,,,,,,,,,,,,,,
244,兽皮腰带,551,20000,装备,腰带,,,1,15,1,,,,,,,,,,,,,,,,,,
245,铁腰带,552,20000,装备,腰带,,,1,22,2,,,,,,,,,,,,,,,,,,
246,青铜腰带,553,20000,装备,腰带,,,1,30,2,1,,,1,,,,,,,,,,,,,,
247,钢铁腰带,554,20000,装备,腰带,,,2,35,3,2,,,,,,,,,,,,,,,,,
248,战神项链,683,50000,装备,项链,,,3,,,2,1,10,,,,,,,,,,,,2,,,
249,战神手镯,677,50000,装备,手镯,,,3,,2,2,1,6,,,,,,,,,,,,2,,,
250,战神戒指,671,50000,装备,戒指,,,2,,,1,2,12,,,,,,,,,,,,2,,,
251,圣魔项链,684,50000,装备,项链,,,1,,,2,,,,,,10,,,1,,,,,2,,,
252,圣魔手镯,679,50000,装备,手镯,,,1,,2,2,,,,,,6,,,1,,,,,2,,,
253,圣魔戒指,673,50000,装备,戒指,,,1,,,1,,,,,,12,,,2,,,,,2,,,
254,真魂项链,685,50000,装备,项链,,,2,,2,,,,,,,,10,1,,,,,,2,,,
255,真魂手镯,681,50000,装备,手镯,,,1,,2,2,,,,,,,6,1,,,,,,2,,,
256,真魂戒指,675,50000,装备,戒指,,,1,,1,,,,,,,,12,2,,,,,,2,,,
257,雷霆项链,782,50000,装备,项链,,,1,,,,3,7,,,,,,,,,,,,1,,,
258,雷霆护腕,767,50000,装备,手镯,,,1,,2,2,1,4,,,,,,,,,,,,1,,,
259,雷霆战戒,774,50000,装备,戒指,,,1,,,,,8,,,,,,,,,,,,1,,,
260,雷霆腰带,762,20000,装备,腰带,,,2,,3,1,1,,2,,,,,,,,,,,1,,,
261,雷霆战靴,753,10000,装备,靴子,,,2,,3,1,1,,,,,,,,,,,,,1,,,
262,烈焰项链,776,50000,装备,项链,,,1,,3,,,,,,,9,,,1,,,,,1,,,
263,烈焰护腕,763,50000,装备,手镯,,,1,,2,,,,,,,4,,,2,,,,,1,,,
264,烈焰魔戒,772,50000,装备,戒指,,,2,,1,,,,,,,7,,,1,,,,,1,,,
265,烈焰魔靴,751,10000,装备,靴子,,,1,,3,,,,,,,,,,1,,,,,1,,,
266,烈焰腰带,760,20000,装备,腰带,,,3,,2,1,,,2,,,,,,1,,,,,1,,,
267,光芒项链,780,50000,装备,项链,,,1,,,2,,,,,,,8,2,,,,,,1,,,
268,光芒护腕,765,50000,装备,手镯,,,1,,3,,,,1,,,,4,2,,,,,,1,,,
269,光芒道戒,773,50000,装备,戒指,,,2,,2,,,,,,,,8,1,,,,,,1,,,
270,光芒道靴,752,10000,装备,靴子,,,1,,3,,,,2,,,,,1,,,,,,1,,,
271,光芒腰带,761,20000,装备,腰带,,,3,,2,1,,,2,,,,,1,,,,,,1,,,
272,雷霆战甲(男),598,50000,装备,衣服,1,,60,,15,16,5,8,10,9,1,,,,,,,,,4,,,
273,雷霆战甲(女),599,50000,装备,衣服,2,,60,,15,16,5,8,10,9,1,,,,,,,,,4,,,
274,烈焰魔衣(男),598,50000,装备,衣服,1,,20,,15,16,,,10,9,2,8,,,5,,,,,4,,,
275,烈焰魔衣(女),599,50000,装备,衣服,2,,20,,15,16,,,10,9,2,8,,,5,,,,,4,,,
276,光芒道袍(男),598,50000,装备,衣服,1,,35,,15,16,,,10,9,3,,8,5,,,,,,4,,,
277,光芒道袍(女),599,50000,装备,衣服,2,,35,,15,16,,,10,9,3,,8,5,,,,,,4,,,
278,凤天魔甲,597,40000,装备,衣服,1,,23,,12,12,3,5,8,8,,5,5,3,3,,,,,2,,,
279,凤天魔衣,607,40000,装备,衣服,2,,23,,12,12,3,5,8,8,,5,5,3,3,,,,,2,,,
280,开天,73,80000,装备,武器,,,73,,,,5,38,,,,,,,,,,,,1,,,
281,镇天,74,80000,装备,武器,,,26,,,,,,,,,38,,,5,,,,,1,,,
282,玄天,75,80000,装备,武器,,,44,,,,,,,,,,38,5,,,,,,1,,,
283,虎威戒指,511,50000,装备,,,,1,30,,2,,5,,,,,,,,,,,,,,,
