id,name,class,cid,type,num,item
91,击杀赤月峡谷BOSS赤月恶魔,4,11,206,11,319|600/226|1/2|500/338|1/
92,击杀重装之家BOSS黄泉教主,4,12,206,12,319|800/226|1/2|600/
93,击杀魔龙岭BOSS魔龙教主,4,13,206,13,319|1000/226|1/2|700/
94,击杀牛魔寺庙BOSS牛魔王,4,14,206,14,319|1200/226|2/2|800/
95,击杀骨魔洞窟BOSS冰窟卫士,4,15,206,15,319|1400/226|2/2|1000/
96,击杀圣殿回廊BOSS小龙,4,16,206,16,319|1600/226|3/2|1200/
97,击杀镇魔神殿BOSS大斧兽人,4,17,206,17,319|1800/226|4/2|1400/
98,击杀盘古之地BOSS龙,4,18,206,18,319|2000/226|5/2|1600/
99,击杀上古战场BOSS上古吉兽,4,19,206,19,319|2200/226|6/2|1800/
100,击杀诛仙伏魔殿BOSS大封印魔,4,20,206,20,319|2400/226|7/2|2000/
101,攻击达人(1),5,1,54,100,234|10000/406|1000/2|100/
102,攻击达人(2),5,2,54,200,234|20000/406|2000/2|200/
103,攻击达人(3),5,3,54,300,234|30000/406|3000/2|300/
104,攻击达人(4),5,4,54,400,234|40000/406|4000/2|400/
105,攻击达人(5),5,5,54,500,234|50000/406|5000/2|500/
106,攻击达人(6),5,6,54,600,234|60000/406|6000/2|600/
107,攻击达人(7),5,7,54,700,234|70000/406|7000/2|700/
108,攻击达人(8),5,8,54,800,234|80000/406|8000/2|800/
109,攻击达人(9),5,9,54,900,234|90000/406|9000/2|900/
110,攻击达人(10),5,10,54,1000,234|100000/406|10000/2|1000/
111,攻击达人(11),5,11,54,1100,234|110000/406|11000/2|1100/
112,攻击达人(12),5,12,54,1200,234|120000/406|12000/2|1200/
113,攻击达人(13),5,13,54,1300,234|130000/406|13000/2|1300/
114,攻击达人(14),5,14,54,1400,234|140000/406|14000/2|1400/
115,攻击达人(15),5,15,54,1500,234|150000/406|15000/2|1500/
116,攻击达人(16),5,16,54,1600,234|160000/406|16000/2|1600/
117,攻击达人(17),5,17,54,1700,234|170000/406|17000/2|1700/
118,攻击达人(18),5,18,54,1800,234|180000/406|18000/2|1800/
119,攻击达人(19),5,19,54,1900,234|190000/406|19000/2|1900/
120,攻击达人(20),5,20,54,2000,234|200000/406|20000/2|2000/
121,魔法达人(1),6,1,56,100,235|10000/406|1000/2|100/
122,魔法达人(2),6,2,56,200,235|20000/406|2000/2|200/
123,魔法达人(3),6,3,56,300,235|30000/406|3000/2|300/
124,魔法达人(4),6,4,56,400,235|40000/406|4000/2|400/
125,魔法达人(5),6,5,56,500,235|50000/406|5000/2|500/
126,魔法达人(6),6,6,56,600,235|60000/406|6000/2|600/
127,魔法达人(7),6,7,56,700,235|70000/406|7000/2|700/
128,魔法达人(8),6,8,56,800,235|80000/406|8000/2|800/
129,魔法达人(9),6,9,56,900,235|90000/406|9000/2|900/
130,魔法达人(10),6,10,56,1000,235|100000/406|10000/2|1000/
131,魔法达人(11),6,11,56,1100,235|110000/406|11000/2|1100/
132,魔法达人(12),6,12,56,1200,235|120000/406|12000/2|1200/
133,魔法达人(13),6,13,56,1300,235|130000/406|13000/2|1300/
134,魔法达人(14),6,14,56,1400,235|140000/406|14000/2|1400/
135,魔法达人(15),6,15,56,1500,235|150000/406|15000/2|1500/
136,魔法达人(16),6,16,56,1600,235|160000/406|16000/2|1600/
137,魔法达人(17),6,17,56,1700,235|170000/406|17000/2|1700/
138,魔法达人(18),6,18,56,1800,235|180000/406|18000/2|1800/
139,魔法达人(19),6,19,56,1900,235|190000/406|19000/2|1900/
140,魔法达人(20),6,20,56,2000,235|200000/406|20000/2|2000/
141,道术达人(1),7,1,58,100,236|10000/406|1000/2|100/
142,道术达人(2),7,2,58,200,236|20000/406|2000/2|200/
143,道术达人(3),7,3,58,300,236|30000/406|3000/2|300/
144,道术达人(4),7,4,58,400,236|40000/406|4000/2|400/
145,道术达人(5),7,5,58,500,236|50000/406|5000/2|500/
146,道术达人(6),7,6,58,600,236|60000/406|6000/2|600/
147,道术达人(7),7,7,58,700,236|70000/406|7000/2|700/
148,道术达人(8),7,8,58,800,236|80000/406|8000/2|800/
149,道术达人(9),7,9,58,900,236|90000/406|9000/2|900/
150,道术达人(10),7,10,58,1000,236|100000/406|10000/2|1000/
151,道术达人(11),7,11,58,1100,236|110000/406|11000/2|1100/
152,道术达人(12),7,12,58,1200,236|120000/406|12000/2|1200/
153,道术达人(13),7,13,58,1300,236|130000/406|13000/2|1300/
154,道术达人(14),7,14,58,1400,236|140000/406|14000/2|1400/
155,道术达人(15),7,15,58,1500,236|150000/406|15000/2|1500/
156,道术达人(16),7,16,58,1600,236|160000/406|16000/2|1600/
157,道术达人(17),7,17,58,1700,236|170000/406|17000/2|1700/
158,道术达人(18),7,18,58,1800,236|180000/406|18000/2|1800/
159,道术达人(19),7,19,58,1900,236|190000/406|19000/2|1900/
160,道术达人(20),7,20,58,2000,236|200000/406|20000/2|2000/
161,防御达人(1),8,1,60,50,238|10000/406|1000/2|100/
162,防御达人(2),8,2,60,100,238|20000/406|2000/2|200/
163,防御达人(3),8,3,60,150,238|30000/406|3000/2|300/
164,防御达人(4),8,4,60,200,238|40000/406|4000/2|400/
165,防御达人(5),8,5,60,250,238|50000/406|5000/2|500/
166,防御达人(6),8,6,60,300,238|60000/406|6000/2|600/
167,防御达人(7),8,7,60,350,238|70000/406|7000/2|700/
168,防御达人(8),8,8,60,400,238|80000/406|8000/2|800/
169,防御达人(9),8,9,60,450,238|90000/406|9000/2|900/
170,防御达人(10),8,10,60,500,238|100000/406|10000/2|1000/
171,防御达人(11),8,11,60,550,238|110000/406|11000/2|1100/
172,防御达人(12),8,12,60,600,238|120000/406|12000/2|1200/
173,防御达人(13),8,13,60,650,238|130000/406|13000/2|1300/
174,防御达人(14),8,14,60,700,238|140000/406|14000/2|1400/
175,防御达人(15),8,15,60,750,238|150000/406|15000/2|1500/
176,防御达人(16),8,16,60,800,238|160000/406|16000/2|1600/
177,防御达人(17),8,17,60,850,238|170000/406|17000/2|1700/
178,防御达人(18),8,18,60,900,238|180000/406|18000/2|1800/
179,防御达人(19),8,19,60,950,238|190000/406|19000/2|1900/
180,防御达人(20),8,20,60,1000,238|200000/406|20000/2|2000/
181,魔防达人(1),9,1,62,50,239|10000/406|1000/2|100/
182,魔防达人(2),9,2,62,100,239|20000/406|2000/2|200/
183,魔防达人(3),9,3,62,150,239|30000/406|3000/2|300/
184,魔防达人(4),9,4,62,200,239|40000/406|4000/2|400/
185,魔防达人(5),9,5,62,250,239|50000/406|5000/2|500/
186,魔防达人(6),9,6,62,300,239|60000/406|6000/2|600/
187,魔防达人(7),9,7,62,350,239|70000/406|7000/2|700/
188,魔防达人(8),9,8,62,400,239|80000/406|8000/2|800/
189,魔防达人(9),9,9,62,450,239|90000/406|9000/2|900/
190,魔防达人(10),9,10,62,500,239|100000/406|10000/2|1000/
191,魔防达人(11),9,11,62,550,239|110000/406|11000/2|1100/
192,魔防达人(12),9,12,62,600,239|120000/406|12000/2|1200/
193,魔防达人(13),9,13,62,650,239|130000/406|13000/2|1300/
194,魔防达人(14),9,14,62,700,239|140000/406|14000/2|1400/
195,魔防达人(15),9,15,62,750,239|150000/406|15000/2|1500/
196,魔防达人(16),9,16,62,800,239|160000/406|16000/2|1600/
197,魔防达人(17),9,17,62,850,239|170000/406|17000/2|1700/
198,魔防达人(18),9,18,62,900,239|180000/406|18000/2|1800/
199,魔防达人(19),9,19,62,950,239|190000/406|19000/2|1900/
200,魔防达人(20),9,20,62,1000,239|200000/406|20000/2|2000/
201,累计充值1200元,2,10,6,120000,2|20000/407|15000/408|15000/223|1000/
202,累计充值1500元,2,11,6,150000,2|20000/407|18000/408|18000/223|1200/
203,累计充值1800元,2,12,6,180000,2|20000/407|20000/408|20000/223|1500/
204,累计充值2000元,2,13,6,200000,2|20000/407|25000/408|25000/223|2000/
205,累计充值2500元,2,14,6,250000,2|25000/407|28000/408|28000/223|2500/
206,累计充值3000元,2,15,6,300000,2|30000/407|30000/408|30000/223|3000/
207,累计充值4000元,2,16,6,400000,2|40000/407|40000/408|40000/223|4000/
208,累计充值5000元,2,17,6,500000,2|50000/407|50000/408|50000/223|5000/
209,累计充值7000元,2,18,6,700000,2|60000/407|60000/408|60000/223|6000/
210,累计充值10000元,2,19,6,1000000,2|70000/407|70000/408|70000/223|7000/
211,累计充值15000元,2,20,6,1500000,2|80000/407|80000/408|80000/223|8000/
212,累计充值20000元,2,21,6,2000000,2|90000/407|90000/408|90000/223|9000/
213,6转奖励,1,12,202,6,356|6/404|120000/407|30000/408|30000/
214,7转奖励,1,13,202,7,356|7/404|140000/407|35000/408|35000/
215,幻境达人(61),3,61,208,610,404|30500/407|12200/408|12200/
216,幻境达人(62),3,62,208,620,404|31000/407|12400/408|12400/
217,幻境达人(63),3,63,208,630,404|31500/407|12600/408|12600/
218,幻境达人(64),3,64,208,640,404|32000/407|12800/408|12800/
219,幻境达人(65),3,65,208,650,404|32500/407|13000/408|13000/
220,幻境达人(66),3,66,208,660,404|33000/407|13200/408|13200/
221,幻境达人(67),3,67,208,670,404|33500/407|13400/408|13400/
222,幻境达人(68),3,68,208,680,404|34000/407|13600/408|13600/
223,幻境达人(69),3,69,208,690,404|34500/407|13800/408|13800/
224,幻境达人(70),3,70,208,700,404|35000/407|14000/408|14000/319|5000/
225,幻境达人(71),3,71,208,710,404|36000/407|15000/408|15000/
226,幻境达人(72),3,72,208,720,404|37000/407|16000/408|16000/
227,幻境达人(73),3,73,208,730,404|38000/407|17000/408|17000/
228,幻境达人(74),3,74,208,740,404|39000/407|18000/408|18000/
229,幻境达人(75),3,75,208,750,404|40000/407|19000/408|19000/
230,幻境达人(76),3,76,208,760,404|41000/407|20000/408|20000/
231,幻境达人(77),3,77,208,770,404|42000/407|21000/408|21000/
232,幻境达人(78),3,78,208,780,404|43000/407|22000/408|22000/
233,幻境达人(79),3,79,208,790,404|44000/407|23000/408|23000/
234,幻境达人(80),3,80,208,800,404|45000/407|24000/408|24000/
235,幻境达人(81),3,81,208,810,404|46000/407|25000/408|25000/
236,幻境达人(82),3,82,208,820,404|47000/407|26000/408|26000/
237,幻境达人(83),3,83,208,830,404|48000/407|27000/408|27000/
238,幻境达人(84),3,84,208,840,404|49000/407|28000/408|28000/
239,幻境达人(85),3,85,208,850,404|50000/407|29000/408|29000/
240,幻境达人(86),3,86,208,860,404|51000/407|30000/408|30000/
241,幻境达人(87),3,87,208,870,404|52000/407|31000/408|31000/
242,幻境达人(88),3,88,208,880,404|53000/407|32000/408|32000/
243,幻境达人(89),3,89,208,890,404|54000/407|33000/408|33000/
244,幻境达人(90),3,90,208,900,404|55000/407|34000/408|34000/
245,击杀混沌战场BOSS巨魔王,4,21,206,21,319|2600/226|7/2|2200/
246,击杀堕落深渊BOSS深渊金仙,4,22,206,22,319|2800/226|8/2|2400/
247,击杀主宰地狱BOSS主宰教主,4,23,206,23,319|3000/226|9/2|2600/
248,击杀暗黑之城BOSS暗黑破坏神,4,24,206,24,319|3200/226|10/2|2800/
249,8转奖励,1,14,202,8,356|8/404|160000/407|40000/408|40000/
250,9转奖励,1,15,202,9,356|9/404|180000/407|45000/408|45000/
251,推广达人(1),10,1,500,10,1|100000/
252,推广达人(2),10,2,500,50,217|10/2|100/
253,推广达人(3),10,3,500,100,223|100/319|20/
254,推广达人(4),10,4,500,200,223|200/320|20/319|30/
255,推广达人(5),10,5,500,300,223|300/338|1/319|50/
256,推广达人(6),10,6,500,400,223|400/420|1/319|100/
257,推广达人(7),10,7,500,500,223|500/421|1/319|200/
258,推广达人(8),10,8,500,600,223|600/446|1/319|300/
259,推广达人(9),10,9,500,700,223|700/471|20/319|400/
260,推广达人(10),10,10,500,800,223|800/478|20/319|500/
261,推广达人(11),10,11,500,900,223|900/478|30/319|600/
262,推广达人(12),10,12,500,1000,324|12/478|50/
263,屠龙者(1),11,1,503,1000,319|100/
264,屠龙者(2),11,2,503,2000,319|200/
265,屠龙者(3),11,3,503,5000,319|300/
266,屠龙者(4),11,4,503,10000,319|400/354|5/
267,屠龙者(5),11,5,503,20000,319|500/354|15/
268,屠龙者(6),11,6,503,30000,319|600/354|20/
269,屠龙者(7),11,7,503,50000,319|700/354|30/
270,屠龙者(8),11,8,503,70000,319|800/421|5/
271,屠龙者(9),11,9,503,100000,319|900/421|10/
272,屠龙者(10),11,10,503,150000,319|1000/421|15/
273,屠龙者(11),11,11,503,200000,319|1100/421|20/
274,屠龙者(12),11,12,503,300000,319|1200/421|25/
275,屠龙者(13),11,13,503,400000,319|1300/421|30/
276,屠龙者(14),11,14,503,500000,319|1400/478|50/
277,幻境达人(91),3,91,208,910,404|55000/407|35000/408|35000/
278,幻境达人(92),3,92,208,920,404|56000/407|36000/408|36000/
279,幻境达人(93),3,93,208,930,404|57000/407|37000/408|37000/
280,幻境达人(94),3,94,208,940,404|58000/407|38000/408|38000/
281,幻境达人(95),3,95,208,950,404|59000/407|39000/408|39000/
282,幻境达人(96),3,96,208,960,404|60000/407|40000/408|40000/
283,幻境达人(97),3,97,208,970,404|61000/407|41000/408|41000/
284,幻境达人(98),3,98,208,980,404|62000/407|42000/408|42000/
285,幻境达人(99),3,99,208,990,404|63000/407|43000/408|43000/
286,幻境达人(100),3,100,208,1000,485|1/486|1/487|1/
287,幻境达人(101),3,101,208,1010,404|65000/407|45000/408|45000/
288,幻境达人(102),3,102,208,1020,404|66000/407|46000/408|46000/
289,幻境达人(103),3,103,208,1030,404|67000/407|47000/408|47000/
290,幻境达人(104),3,104,208,1040,404|68000/407|48000/408|48000/
291,幻境达人(105),3,105,208,1050,404|69000/407|49000/408|49000/
292,幻境达人(106),3,106,208,1060,404|70000/407|50000/408|50000/
293,幻境达人(107),3,107,208,1070,404|71000/407|51000/408|51000/
294,幻境达人(108),3,108,208,1080,404|72000/407|52000/408|52000/
295,幻境达人(109),3,109,208,1090,404|73000/407|53000/408|53000/
296,幻境达人(110),3,110,208,1100,404|74000/407|54000/408|54000/
297,幻境达人(111),3,111,208,1110,404|75000/407|55000/408|55000/
298,幻境达人(112),3,112,208,1120,404|76000/407|56000/408|56000/
299,幻境达人(113),3,113,208,1130,404|77000/407|57000/408|57000/
300,幻境达人(114),3,114,208,1140,404|78000/407|58000/408|58000/
301,幻境达人(115),3,115,208,1150,404|79000/407|59000/408|59000/
302,幻境达人(116),3,116,208,1160,404|80000/407|60000/408|60000/
303,幻境达人(117),3,117,208,1170,404|81000/407|61000/408|61000/
304,幻境达人(118),3,118,208,1180,404|82000/407|62000/408|62000/
305,幻境达人(119),3,119,208,1190,404|83000/407|63000/408|63000/
306,幻境达人(120),3,120,208,1200,404|84000/407|64000/408|64000/
307,幻境达人(121),3,121,208,1210,404|85000/407|65000/408|65000/
308,幻境达人(122),3,122,208,1220,404|86000/407|66000/408|66000/
309,幻境达人(123),3,123,208,1230,404|87000/407|67000/408|67000/
310,幻境达人(124),3,124,208,1240,404|88000/407|68000/408|68000/
311,幻境达人(125),3,125,208,1250,404|89000/407|69000/408|69000/
312,幻境达人(126),3,126,208,1260,404|90000/407|70000/408|70000/
313,幻境达人(127),3,127,208,1270,404|91000/407|71000/408|71000/
314,幻境达人(128),3,128,208,1280,404|92000/407|72000/408|72000/
315,幻境达人(129),3,129,208,1290,404|93000/407|73000/408|73000/
316,幻境达人(130),3,130,208,1300,404|94000/407|74000/408|74000/
317,幻境达人(131),3,131,208,1310,404|95000/407|75000/408|75000/
318,幻境达人(132),3,132,208,1320,404|96000/407|76000/408|76000/
319,幻境达人(133),3,133,208,1330,404|97000/407|77000/408|77000/
320,幻境达人(134),3,134,208,1340,404|98000/407|78000/408|78000/
321,幻境达人(135),3,135,208,1350,404|99000/407|79000/408|79000/
322,幻境达人(136),3,136,208,1360,404|100000/407|80000/408|80000/
323,幻境达人(137),3,137,208,1370,404|101000/407|81000/408|81000/
324,幻境达人(138),3,138,208,1380,404|102000/407|82000/408|82000/
325,幻境达人(139),3,139,208,1390,404|103000/407|83000/408|83000/
326,幻境达人(140),3,140,208,1400,404|104000/407|84000/408|84000/
327,幻境达人(141),3,141,208,1410,404|105000/407|85000/408|85000/
328,幻境达人(142),3,142,208,1420,404|106000/407|86000/408|86000/
329,幻境达人(143),3,143,208,1430,404|107000/407|87000/408|87000/
330,幻境达人(144),3,144,208,1440,404|108000/407|88000/408|88000/
331,幻境达人(145),3,145,208,1450,404|109000/407|89000/408|89000/
332,幻境达人(146),3,146,208,1460,404|110000/407|90000/408|90000/
333,幻境达人(147),3,147,208,1470,404|111000/407|91000/408|91000/
334,幻境达人(148),3,148,208,1480,404|112000/407|92000/408|92000/
335,幻境达人(149),3,149,208,1490,404|113000/407|93000/408|93000/
336,幻境达人(150),3,150,208,1500,404|114000/407|94000/408|94000/
337,幻境达人(151),3,151,208,1510,404|115000/407|95000/408|95000/
338,幻境达人(152),3,152,208,1520,404|116000/407|96000/408|96000/
339,幻境达人(153),3,153,208,1530,404|117000/407|97000/408|97000/
340,幻境达人(154),3,154,208,1540,404|118000/407|98000/408|98000/
341,幻境达人(155),3,155,208,1550,404|119000/407|99000/408|99000/
342,幻境达人(156),3,156,208,1560,404|120000/407|100000/408|100000/
343,幻境达人(157),3,157,208,1570,404|121000/407|101000/408|101000/
344,幻境达人(158),3,158,208,1580,404|122000/407|102000/408|102000/
345,幻境达人(159),3,159,208,1590,404|123000/407|103000/408|103000/
346,幻境达人(160),3,160,208,1600,404|124000/407|104000/408|104000/
347,幻境达人(161),3,161,208,1610,404|125000/407|105000/408|105000/
348,幻境达人(162),3,162,208,1620,404|126000/407|106000/408|106000/
349,幻境达人(163),3,163,208,1630,404|127000/407|107000/408|107000/
350,幻境达人(164),3,164,208,1640,404|128000/407|108000/408|108000/
351,幻境达人(165),3,165,208,1650,404|129000/407|109000/408|109000/
352,幻境达人(166),3,166,208,1660,404|130000/407|110000/408|110000/
353,幻境达人(167),3,167,208,1670,404|131000/407|111000/408|111000/
354,幻境达人(168),3,168,208,1680,404|132000/407|112000/408|112000/
355,幻境达人(169),3,169,208,1690,404|133000/407|113000/408|113000/
356,幻境达人(170),3,170,208,1700,404|134000/407|114000/408|114000/
357,幻境达人(171),3,171,208,1710,404|135000/407|115000/408|115000/
358,幻境达人(172),3,172,208,1720,404|136000/407|116000/408|116000/
359,幻境达人(173),3,173,208,1730,404|137000/407|117000/408|117000/
360,幻境达人(174),3,174,208,1740,404|138000/407|118000/408|118000/
361,幻境达人(175),3,175,208,1750,404|139000/407|119000/408|119000/
362,幻境达人(176),3,176,208,1760,404|140000/407|120000/408|120000/
363,幻境达人(177),3,177,208,1770,404|141000/407|121000/408|121000/
364,幻境达人(178),3,178,208,1780,404|142000/407|122000/408|122000/
365,幻境达人(179),3,179,208,1790,404|143000/407|123000/408|123000/
366,幻境达人(180),3,180,208,1800,404|144000/407|124000/408|124000/
367,幻境达人(181),3,181,208,1810,404|145000/407|125000/408|125000/
368,幻境达人(182),3,182,208,1820,404|146000/407|126000/408|126000/
369,幻境达人(183),3,183,208,1830,404|147000/407|127000/408|127000/
370,幻境达人(184),3,184,208,1840,404|148000/407|128000/408|128000/
371,幻境达人(185),3,185,208,1850,404|149000/407|129000/408|129000/
372,幻境达人(186),3,186,208,1860,404|150000/407|130000/408|130000/
373,幻境达人(187),3,187,208,1870,404|151000/407|131000/408|131000/
374,幻境达人(188),3,188,208,1880,404|152000/407|132000/408|132000/
375,幻境达人(189),3,189,208,1890,404|153000/407|133000/408|133000/
376,幻境达人(190),3,190,208,1900,404|154000/407|134000/408|134000/
377,幻境达人(191),3,191,208,1910,404|155000/407|135000/408|135000/
378,幻境达人(192),3,192,208,1920,404|156000/407|136000/408|136000/
379,幻境达人(193),3,193,208,1930,404|157000/407|137000/408|137000/
380,幻境达人(194),3,194,208,1940,404|158000/407|138000/408|138000/
381,幻境达人(195),3,195,208,1950,404|159000/407|139000/408|139000/
382,幻境达人(196),3,196,208,1960,404|160000/407|140000/408|140000/
383,幻境达人(197),3,197,208,1970,404|161000/407|141000/408|141000/
384,幻境达人(198),3,198,208,1980,404|162000/407|142000/408|142000/
385,幻境达人(199),3,199,208,1990,404|163000/407|143000/408|143000/
386,幻境达人(200),3,200,208,2000,404|164000/407|144000/408|144000/
387,攻击达人(21),5,21,54,2100,234|200000/406|20000/2|500/730|2/
388,攻击达人(22),5,22,54,2200,234|200000/406|20000/2|500/730|2/
389,攻击达人(23),5,23,54,2300,234|200000/406|20000/2|500/730|2/
390,攻击达人(24),5,24,54,2400,234|200000/406|20000/2|500/730|2/
391,攻击达人(25),5,25,54,2500,234|200000/406|20000/2|500/730|2/
392,攻击达人(26),5,26,54,2600,234|200000/406|20000/2|500/730|2/
393,攻击达人(27),5,27,54,2700,234|200000/406|20000/2|500/730|2/
394,攻击达人(28),5,28,54,2800,234|200000/406|20000/2|500/730|2/
395,攻击达人(29),5,29,54,2900,234|200000/406|20000/2|500/730|2/
396,攻击达人(30),5,30,54,3000,234|200000/406|20000/2|500/485|1/
397,攻击达人(31),5,31,54,3100,234|200000/406|20000/2|500/730|2/
398,攻击达人(32),5,32,54,3200,234|200000/406|20000/2|500/730|2/
399,攻击达人(33),5,33,54,3300,234|200000/406|20000/2|500/730|2/
400,攻击达人(34),5,34,54,3400,234|200000/406|20000/2|500/730|2/
401,攻击达人(35),5,35,54,3500,234|200000/406|20000/2|500/730|2/
402,攻击达人(36),5,36,54,3600,234|200000/406|20000/2|500/730|2/
403,攻击达人(37),5,37,54,3700,234|200000/406|20000/2|500/730|2/
