id,name,picture,present,lvl,boss,exp,money,item,met
11,赤月峡谷,11,月魔蜘蛛|钢牙蜘蛛|天狼蜘蛛|幻影蜘蛛|花吻蜘蛛|血巨人|双头金刚|双头血魔,45,11,90,70,234|1|1|150/235|1|1|150/236|1|1|150/237|1|1|150/238|1|1|150/239|1|1|150/166|1|1|200/167|1|1|200/168|1|1|200/169|1|1|200/170|1|1|200/171|1|1|200/172|1|1|200/173|1|1|200/174|1|1|200/175|1|1|200/176|1|1|200/177|1|1|200/,
12,重装之家,12,暗之魔龙教主|暗之虹魔教主|暗之双头金刚|暗之双头血魔|双头金刚|双头血魔|暗之骷髅精灵|邪恶钳虫,50,12,95,75,234|1|1|100/235|1|1|100/236|1|1|100/237|1|1|100/238|1|1|100/239|1|1|100/183|1|1|200/184|1|1|200/185|1|1|200/186|1|1|200/187|1|1|200/188|1|1|200/,
13,魔龙岭,13,魔龙血蛙|魔龙邪眼|魔龙刺蛙|魔龙射手|魔龙破甲兵|魔龙刀兵|魔龙力士|魔龙战将|魔龙巨蛾,55,14,100,80,234|1|1|100/235|1|1|100/236|1|1|100/237|1|1|100/238|1|1|100/239|1|1|100/257|1|1|200/258|1|1|200/259|1|1|200/262|1|1|200/263|1|1|200/264|1|1|200/267|1|1|200/268|1|1|200/269|1|1|200/,
14,牛魔寺庙,14,牛魔战将|牛魔侍卫|牛魔刀兵|牛魔枪兵|牛魔遁地兽|牛魔卫士,60,13,110,90,234|1|1|100/235|1|1|100/236|1|1|100/237|1|1|100/238|1|1|100/239|1|1|100/248|1|1|200/249|1|1|200/250|1|1|200/251|1|1|200/252|1|1|200/253|1|1|200/254|1|1|200/255|1|1|200/256|1|1|200/,1
15,骨魔洞窟,16,骨魔巨蟹|骨魔卫士|骨魔刀卫|骨魔长枪兵|骨魔骷髅|骨魔僵尸|骨魔护卫,70,22,120,100,234|1|1|100/235|1|1|100/236|1|1|100/237|1|1|100/238|1|1|100/239|1|1|100/278|1|1|200/279|1|1|200/248|1|1|200/251|1|1|200/254|1|1|200/,1
16,圣殿回廊,15,圣殿巨兽|圣殿刀斧手|圣殿巨刀兵|圣殿长刀兵|圣殿将军,80,25,130,110,234|1|1|100/235|1|1|100/236|1|1|100/237|1|1|100/238|1|1|100/239|1|1|100/357|1|1|200/358|1|1|200/359|1|1|200/360|1|1|200/,2
17,镇魔神殿,17,镇魔侍卫|巨魔兽|遁地神兽|火炎魔|冰焰魔,90,23,140,120,234|1|1|50/235|1|1|50/236|1|1|50/237|1|1|50/238|1|1|50/239|1|1|50/272|1|1|200/273|1|1|200/274|1|1|200/275|1|1|200/276|1|1|200/277|1|1|200/,2
18,盘古之地,18,盘古之手|盘古之脚|盘古之眼|盘古舌|盘古颚|盘古之躯,100,32,150,130,234|1|1|50/235|1|1|50/236|1|1|50/237|1|1|50/238|1|1|50/239|1|1|50/367|1|1|200/368|1|1|200/369|1|1|200/370|1|1|200/373|1|1|200/374|1|1|200/375|1|1|200/376|1|1|200/379|1|1|200/380|1|1|200/381|1|1|200/382|1|1|200/,3
19,上古战场,19,上古神牛|上古圣龙|上古飞鹰|上古凤凰|上古神魔,110,19,160,140,234|1|1|50/235|1|1|50/236|1|1|50/237|1|1|50/238|1|1|50/239|1|1|50/385|1|1|200/386|1|1|200/387|1|1|200/390|1|1|200/,3
20,诛仙伏魔殿,20,地仙|人仙|神仙|降龙|伏虎|金仙|天仙,120,35,170,150,234|1|1|50/235|1|1|50/236|1|1|50/237|1|1|50/238|1|1|50/239|1|1|50/391|1|1|200/392|1|1|200/393|1|1|200/394|1|1|200/395|1|1|200/396|1|1|200/,4
21,混沌战场,21,小魔神|三眼巨兽|天尊|法神|战神|刑天|蚩尤,140,34,200,180,234|1|1|50/235|1|1|50/236|1|1|50/237|1|1|50/238|1|1|50/239|1|1|50/422|1|1|200/423|1|1|200/424|1|1|200/425|1|1|200/429|1|1|200/430|1|1|200/,5
22,堕落深渊,22,堕落守卫|堕落游神|沉沦魔|心智魔|堕落天使|黑暗游侠|地狱游神,160,27,250,200,234|1|1|50/235|1|1|50/236|1|1|50/237|1|1|50/238|1|1|50/239|1|1|50/431|1|1|200/432|1|1|200/433|1|1|200/434|1|1|200/438|1|1|200/439|1|1|200/,6
23,主宰地狱,23,地狱蜘蛛|地狱犬|火焰之魂|雷光豹|地狱妖|地狱法老|地狱守护神,180,28,300,220,234|1|1|50/235|1|1|50/236|1|1|50/237|1|1|50/238|1|1|50/239|1|1|50/450|1|1|200/451|1|1|200/452|1|1|200/453|1|1|200/457|1|1|200/458|1|1|200/,7
24,暗黑之城,24,堕落天使|光明天使|地狱使者|巡游神|暗黑破坏神|地狱破坏神,200,26,350,240,234|1|1|50/235|1|1|50/236|1|1|50/237|1|1|50/238|1|1|50/239|1|1|50/459|1|1|200/460|1|1|200/461|1|1|200/462|1|1|200/466|1|1|200/467|1|1|200/,8
25,巅峰之路,25,天尊|法神|战神,100,15,500,300,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,9
26,巅峰塔①,26,巅峰小妖|巅峰小神|巅峰小主|巅峰小仙,100,17,600,350,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
27,巅峰塔②,27,巅峰散仙|巅峰真仙|巅峰炎魔|巅峰玄仙,200,18,700,400,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
28,巅峰塔③,28,巅峰金仙|巅峰主神|巅峰王者|巅峰君神,300,21,800,450,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
29,巅峰塔④,29,巅峰地神|巅峰尊者|巅峰帝神|巅峰皇神,400,20,900,500,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
30,巅峰塔⑤,30,巅峰尊神|巅峰帝王|巅峰法神|巅峰战神,500,41,1000,550,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
31,巅峰塔⑥,31,传说神|预言神|谎言神|真言神|谣言神,600,40,1100,600,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
32,巅峰塔⑦,32,朱雀|青龙|玄武|白虎,700,39,1200,650,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
33,巅峰塔⑧,33,火神|光神|风神|水神|雷神|电神,800,42,1300,700,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
34,巅峰塔⑨,34,古神|月亮神|太阳神|上古魔王,900,38,1400,750,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
35,巅峰塔⑩,35,东方之主|西方之主|南方之主|北方之主,1000,16,1500,800,498|1|1|15/491|1|1|50/492|1|1|50/493|1|1|50/494|1|1|50/495|1|1|50/,10
