id,name,lvl,money,rep,a2,b2,c2,d2,e2,met,a1,b1,c1,d1,e1
76,真仙·一段,90,640000000,2090000,315,315,315,74,73,6,6,6,6,6,6
77,真仙·二段,100,650000000,2120000,321,321,321,75,74,6,6,6,6,6,6
78,真仙·三段,110,660000000,2150000,327,327,327,76,75,6,6,6,6,6,6
79,真仙·四段,120,670000000,2180000,333,333,333,77,76,6,6,6,6,6,6
80,真仙·五段,130,680000000,2210000,339,339,339,78,77,6,6,6,6,6,6
81,真仙·六段,140,690000000,2240000,345,345,345,79,78,6,6,6,6,6,6
82,真仙·七段,150,700000000,2270000,351,351,351,80,79,6,6,6,6,6,6
83,真仙·八段,160,710000000,2300000,357,357,357,81,80,6,6,6,6,6,6
84,真仙·九段,170,720000000,2330000,363,363,363,82,81,6,6,6,6,6,6
85,真仙·十段,180,730000000,2360000,369,369,369,83,82,6,6,6,6,6,6
86,玄仙·一段,10,740000000,2390000,375,375,375,84,83,7,7,7,7,7,7
87,玄仙·二段,20,750000000,2420000,381,381,381,85,84,7,7,7,7,7,7
88,玄仙·三段,30,760000000,2450000,387,387,387,86,85,7,7,7,7,7,7
89,玄仙·四段,40,770000000,2480000,393,393,393,87,86,7,7,7,7,7,7
90,玄仙·五段,50,780000000,2510000,399,399,399,88,87,7,7,7,7,7,7
91,玄仙·六段,60,790000000,2540000,405,405,405,89,88,7,7,7,7,7,7
92,玄仙·七段,70,800000000,2570000,411,411,411,90,89,7,7,7,7,7,7
93,玄仙·八段,80,810000000,2600000,417,417,417,91,90,7,7,7,7,7,7
94,玄仙·九段,90,820000000,2630000,423,423,423,92,91,7,7,7,7,7,7
95,玄仙·十段,100,830000000,2660000,429,429,429,93,92,7,7,7,7,7,7
96,金仙·一段,110,840000000,2690000,435,435,435,94,93,7,7,7,7,7,7
97,金仙·二段,120,850000000,2720000,441,441,441,95,94,7,7,7,7,7,7
98,金仙·三段,130,860000000,2750000,447,447,447,96,95,7,7,7,7,7,7
99,金仙·四段,140,870000000,2780000,453,453,453,97,96,7,7,7,7,7,7
100,金仙·五段,150,880000000,2810000,459,459,459,98,97,7,7,7,7,7,7
101,金仙·六段,160,890000000,2840000,465,465,465,99,98,7,7,7,7,7,7
102,金仙·七段,170,900000000,2870000,471,471,471,100,99,7,7,7,7,7,7
103,金仙·八段,180,910000000,2900000,477,477,477,101,100,7,7,7,7,7,7
104,金仙·九段,190,920000000,2930000,483,483,483,102,101,7,7,7,7,7,7
105,金仙·十段,200,930000000,2960000,489,489,489,103,102,7,7,7,7,7,7
106,主神·一段,10,940000000,2990000,495,495,495,104,103,8,9,9,9,9,9
107,主神·二段,20,950000000,3020000,501,501,501,105,104,8,9,9,9,9,9
108,主神·三段,30,960000000,3050000,507,507,507,106,105,8,9,9,9,9,9
109,主神·四段,40,970000000,3080000,513,513,513,107,106,8,9,9,9,9,9
110,主神·五段,50,980000000,3110000,519,519,519,108,107,8,9,9,9,9,9
111,主神·六段,60,990000000,3140000,525,525,525,109,108,8,9,9,9,9,9
112,主神·七段,70,1000000000,3170000,531,531,531,110,109,8,9,9,9,9,9
113,主神·八段,80,1010000000,3200000,537,537,537,111,110,8,9,9,9,9,9
114,主神·九段,90,1020000000,3230000,543,543,543,112,111,8,9,9,9,9,9
115,主神·十段,100,1030000000,3260000,549,549,549,113,112,8,9,9,9,9,9
116,君神·一段,110,1040000000,3290000,555,555,555,114,113,8,9,9,9,9,9
117,君神·二段,120,1050000000,3320000,561,561,561,115,114,8,9,9,9,9,9
118,君神·三段,130,1060000000,3350000,567,567,567,116,115,8,9,9,9,9,9
119,君神·四段,140,1070000000,3380000,573,573,573,117,116,8,9,9,9,9,9
120,君神·五段,150,1080000000,3410000,579,579,579,118,117,8,9,9,9,9,9
121,君神·六段,160,1090000000,3440000,585,585,585,119,118,8,9,9,9,9,9
122,君神·七段,170,1100000000,3470000,591,591,591,120,119,8,9,9,9,9,9
123,君神·八段,180,1110000000,3500000,597,597,597,121,120,8,9,9,9,9,9
124,君神·九段,190,1120000000,3530000,603,603,603,122,121,8,9,9,9,9,9
125,君神·十段,200,1130000000,3560000,609,609,609,123,122,8,9,9,9,9,9
126,帝神·一段,210,1140000000,3590000,615,615,615,124,123,8,9,9,9,9,9
127,帝神·二段,220,1150000000,3620000,621,621,621,125,124,8,9,9,9,9,9
128,帝神·三段,10,1160000000,3650000,627,627,627,126,125,9,10,10,10,10,10
129,帝神·四段,20,1170000000,3680000,633,633,633,127,126,9,10,10,10,10,10
130,帝神·五段,30,1180000000,3710000,639,639,639,128,127,9,10,10,10,10,10
131,帝神·六段,40,1190000000,3740000,645,645,645,129,128,9,10,10,10,10,10
132,帝神·七段,50,1200000000,3770000,651,651,651,130,129,9,10,10,10,10,10
133,帝神·八段,60,1210000000,3800000,657,657,657,131,130,9,10,10,10,10,10
134,帝神·九段,70,1220000000,3830000,663,663,663,132,131,9,10,10,10,10,10
135,帝神·十段,80,1230000000,3860000,669,669,669,133,132,9,10,10,10,10,10
136,皇神·一段,90,1240000000,3890000,675,675,675,134,133,9,10,10,10,10,10
137,皇神·二段,100,1250000000,3920000,681,681,681,135,134,9,10,10,10,10,10
138,皇神·三段,110,1260000000,3950000,687,687,687,136,135,9,10,10,10,10,10
139,皇神·四段,120,1270000000,3980000,693,693,693,137,136,9,10,10,10,10,10
140,皇神·五段,130,1280000000,4010000,699,699,699,138,137,9,10,10,10,10,10
141,皇神·六段,140,1290000000,4040000,705,705,705,139,138,9,10,10,10,10,10
142,皇神·七段,150,1300000000,4070000,711,711,711,140,139,9,10,10,10,10,10
143,皇神·八段,160,1310000000,4100000,717,717,717,141,140,9,10,10,10,10,10
144,皇神·九段,170,1320000000,4130000,723,723,723,142,141,9,10,10,10,10,10
145,皇神·十段,180,1330000000,4160000,729,729,729,143,142,9,10,10,10,10,10
146,尊神·一段,190,1340000000,4190000,735,735,735,144,143,9,10,10,10,10,10
147,尊神·二段,200,1350000000,4220000,741,741,741,145,144,9,10,10,10,10,10
148,尊神·三段,210,1360000000,4250000,747,747,747,146,145,9,10,10,10,10,10
149,尊神·四段,220,1370000000,4280000,753,753,753,147,146,9,10,10,10,10,10
150,尊神·五段,230,1380000000,4310000,759,759,759,148,147,9,10,10,10,10,10
151,尊神·六段,240,1390000000,4340000,765,765,765,149,148,9,10,10,10,10,10
152,尊神·七段,10,1400000000,4370000,800,800,800,150,150,10,10,10,10,10,10
153,尊神·八段,20,1410000000,4400000,820,820,820,160,160,10,10,10,10,10,10
154,尊神·九段,30,1420000000,4430000,840,840,840,170,170,10,10,10,10,10,10
155,尊神·十段,40,1430000000,4460000,860,860,860,180,180,10,10,10,10,10,10
156,太武·一段,50,1440000000,4490000,880,880,880,190,190,10,10,10,10,10,10
157,太武·二段,60,1450000000,4520000,900,900,900,200,200,10,10,10,10,10,10
158,太武·三段,70,1460000000,4550000,920,920,920,210,210,10,10,10,10,10,10
159,太武·四段,80,1470000000,4580000,940,940,940,220,220,10,10,10,10,10,10
160,太武·五段,90,1480000000,4610000,960,960,960,230,230,10,10,10,10,10,10
161,太武·六段,100,1490000000,4640000,980,980,980,240,240,10,10,10,10,10,10
162,太武·七段,110,1500000000,4670000,1000,1000,1000,250,250,10,10,10,10,10,10
163,太武·八段,120,1510000000,4700000,1020,1020,1020,260,260,10,10,10,10,10,10
164,太武·九段,130,1520000000,4730000,1040,1040,1040,270,270,10,10,10,10,10,10
165,太武·十段,140,1530000000,4760000,1060,1060,1060,280,280,10,10,10,10,10,10
166,太道·一段,150,1540000000,4790000,1080,1080,1080,290,290,10,10,10,10,10,10
167,太道·二段,160,1550000000,4820000,1100,1100,1100,300,300,10,10,10,10,10,10
168,太道·三段,170,1560000000,4850000,1120,1120,1120,310,310,10,10,10,10,10,10
169,太道·四段,180,1570000000,4880000,1140,1140,1140,320,320,10,10,10,10,10,10
170,太道·五段,190,1580000000,4910000,1160,1160,1160,330,330,10,10,10,10,10,10
171,太道·六段,200,1590000000,4940000,1180,1180,1180,340,340,10,10,10,10,10,10
172,太道·七段,210,1600000000,4970000,1200,1200,1200,350,350,10,10,10,10,10,10
173,太道·八段,220,1610000000,5000000,1220,1220,1220,360,360,10,10,10,10,10,10
174,太道·九段,230,1620000000,5030000,1240,1240,1240,370,370,10,10,10,10,10,10
175,太道·十段,240,1630000000,5060000,1260,1260,1260,380,380,10,10,10,10,10,10
176,太极·一段,250,1640000000,5090000,1280,1280,1280,390,390,10,10,10,10,10,10
177,太极·二段,260,1650000000,5120000,1300,1300,1300,400,400,10,10,10,10,10,10
178,太极·三段,270,1660000000,5150000,1320,1320,1320,410,410,10,10,10,10,10,10
179,太极·四段,280,1670000000,5180000,1340,1340,1340,420,420,10,10,10,10,10,10
180,太极·五段,290,1680000000,5210000,1360,1360,1360,430,430,10,10,10,10,10,10
181,太极·六段,300,1690000000,5240000,1380,1380,1380,440,440,10,10,10,10,10,10
182,太极·七段,310,1700000000,5270000,1400,1400,1400,450,450,10,10,10,10,10,10
183,太极·八段,320,1710000000,5300000,1420,1420,1420,460,460,10,10,10,10,10,10
184,太极·九段,330,1720000000,5330000,1440,1440,1440,470,470,10,10,10,10,10,10
185,太极·十段,340,1730000000,5360000,1460,1460,1460,480,480,10,10,10,10,10,10
186,太天·一段,350,1740000000,5390000,1480,1480,1480,490,490,10,10,10,10,10,10
187,太天·二段,360,1750000000,5420000,1500,1500,1500,500,500,10,10,10,10,10,10
188,太天·三段,370,1760000000,5450000,1520,1520,1520,510,510,10,10,10,10,10,10
189,太天·四段,380,1770000000,5480000,1540,1540,1540,520,520,10,10,10,10,10,10
190,太天·五段,390,1780000000,5510000,1560,1560,1560,530,530,10,10,10,10,10,10
191,太天·六段,400,1790000000,5540000,1580,1580,1580,540,540,10,10,10,10,10,10
192,太天·七段,410,1800000000,5570000,1600,1600,1600,550,550,10,10,10,10,10,10
193,太天·八段,420,1810000000,5600000,1620,1620,1620,560,560,10,10,10,10,10,10
194,太天·九段,430,1820000000,5630000,1640,1640,1640,570,570,10,10,10,10,10,10
195,太天·十段,440,1830000000,5660000,1660,1660,1660,580,580,10,10,10,10,10,10
196,太使·一段,450,1840000000,5690000,1680,1680,1680,590,590,10,10,10,10,10,10
197,太使·二段,460,1850000000,5720000,1700,1700,1700,600,600,10,10,10,10,10,10
198,太使·三段,470,1860000000,5750000,1720,1720,1720,610,610,10,10,10,10,10,10
199,太使·四段,480,1870000000,5780000,1740,1740,1740,620,620,10,10,10,10,10,10
200,太使·五段,490,1880000000,5810000,1760,1760,1760,630,630,10,10,10,10,10,10
201,太使·六段,500,1890000000,5840000,1780,1780,1780,640,640,10,10,10,10,10,10
202,太使·七段,510,1900000000,5870000,1800,1800,1800,650,650,10,10,10,10,10,10
203,太使·八段,520,1910000000,5900000,1820,1820,1820,660,660,10,10,10,10,10,10
204,太使·九段,530,1920000000,5930000,1840,1840,1840,670,670,10,10,10,10,10,10
205,太使·十段,540,1930000000,5960000,1860,1860,1860,680,680,10,10,10,10,10,10
206,主道·一段,550,1940000000,5990000,1880,1880,1880,690,690,10,10,10,10,10,10
207,主道·二段,560,1950000000,6020000,1900,1900,1900,700,700,10,10,10,10,10,10
208,主道·三段,570,1960000000,6050000,1920,1920,1920,710,710,10,10,10,10,10,10
209,主道·四段,580,1970000000,6080000,1940,1940,1940,720,720,10,10,10,10,10,10
210,主道·五段,590,1980000000,6110000,1960,1960,1960,730,730,10,10,10,10,10,10
211,主道·六段,600,1990000000,6140000,1980,1980,1980,740,740,10,10,10,10,10,10
212,主道·七段,610,2000000000,6170000,2000,2000,2000,750,750,10,10,10,10,10,10
213,主道·八段,620,2010000000,6200000,2020,2020,2020,760,760,10,10,10,10,10,10
214,主道·九段,630,2020000000,6230000,2040,2040,2040,770,770,10,10,10,10,10,10
215,主道·十段,640,2030000000,6260000,2060,2060,2060,780,780,10,10,10,10,10,10
216,主魔·一段,650,2040000000,6290000,2080,2080,2080,790,790,10,10,10,10,10,10
217,主魔·二段,660,2050000000,6320000,2100,2100,2100,800,800,10,10,10,10,10,10
218,主魔·三段,670,2060000000,6350000,2120,2120,2120,810,810,10,10,10,10,10,10
219,主魔·四段,680,2070000000,6380000,2140,2140,2140,820,820,10,10,10,10,10,10
220,主魔·五段,690,2080000000,6410000,2160,2160,2160,830,830,10,10,10,10,10,10
221,主魔·六段,700,2090000000,6440000,2180,2180,2180,840,840,10,10,10,10,10,10
222,主魔·七段,710,2100000000,6470000,2200,2200,2200,850,850,10,10,10,10,10,10
223,主魔·八段,720,2110000000,6500000,2220,2220,2220,860,860,10,10,10,10,10,10
224,主魔·九段,730,2120000000,6530000,2240,2240,2240,870,870,10,10,10,10,10,10
225,主魔·十段,740,2130000000,6560000,2260,2260,2260,880,880,10,10,10,10,10,10
226,主仙·一段,750,2140000000,6590000,2280,2280,2280,890,890,10,10,10,10,10,10
227,主仙·二段,760,2150000000,6620000,2300,2300,2300,900,900,10,10,10,10,10,10
228,主仙·三段,770,2160000000,6650000,2320,2320,2320,910,910,10,10,10,10,10,10
229,主仙·四段,780,2170000000,6680000,2340,2340,2340,920,920,10,10,10,10,10,10
230,主仙·五段,790,2180000000,6710000,2360,2360,2360,930,930,10,10,10,10,10,10
231,主仙·六段,800,2190000000,6740000,2380,2380,2380,940,940,10,10,10,10,10,10
232,主仙·七段,810,2200000000,6770000,2400,2400,2400,950,950,10,10,10,10,10,10
233,主仙·八段,820,2210000000,6800000,2420,2420,2420,960,960,10,10,10,10,10,10
234,主仙·九段,830,2220000000,6830000,2440,2440,2440,970,970,10,10,10,10,10,10
235,主仙·十段,840,2230000000,6860000,2460,2460,2460,980,980,10,10,10,10,10,10
236,主宰·一段,850,2240000000,6890000,2480,2480,2480,990,990,10,10,10,10,10,10
237,主宰·二段,860,2250000000,6920000,2500,2500,2500,1000,1000,10,10,10,10,10,10
238,主宰·三段,870,2260000000,6950000,2520,2520,2520,1010,1010,10,10,10,10,10,10
239,主宰·四段,880,2270000000,6980000,2540,2540,2540,1020,1020,10,10,10,10,10,10
240,主宰·五段,890,2280000000,7010000,2560,2560,2560,1030,1030,10,10,10,10,10,10
241,主宰·六段,900,2290000000,7040000,2580,2580,2580,1040,1040,10,10,10,10,10,10
242,主宰·七段,910,2300000000,7070000,2600,2600,2600,1050,1050,10,10,10,10,10,10
243,主宰·八段,920,2310000000,7100000,2620,2620,2620,1060,1060,10,10,10,10,10,10
244,主宰·九段,930,2320000000,7130000,2640,2640,2640,1070,1070,10,10,10,10,10,10
245,主宰·十段,940,2330000000,7160000,2660,2660,2660,1080,1080,10,10,10,10,10,10
246,鸿蒙·来客,950,2340000000,7190000,2680,2680,2680,1090,1090,10,10,10,10,10,10
247,鸿蒙·道仙,960,2350000000,7220000,2700,2700,2700,1100,1100,10,10,10,10,10,10
248,鸿蒙·尊王,970,2360000000,7250000,2720,2720,2720,1110,1110,10,10,10,10,10,10
249,鸿蒙·天神,980,2370000000,7280000,2740,2740,2740,1120,1120,10,10,10,10,10,10
250,鸿蒙·帝主,990,2380000000,7310000,2760,2760,2760,1130,1130,10,10,10,10,10,10
251,鸿蒙·主宰,1000,2390000000,7340000,2780,2780,2780,1140,1140,10,10,10,10,10,10
