id,name,ida,anum,idb,bnum,idc,cnum,itemid,num,xsb,fw,fwb,tx,fwa
73,13#符文升级,513,1,513,1,513,1,514,1,,,,,
74,14#符文升级,514,1,514,1,514,1,515,1,,,,,
75,15#符文升级,515,1,515,1,515,1,516,1,,,,,
76,16#符文升级,516,1,516,1,516,1,517,1,,,,,
77,17#符文升级,517,1,517,1,517,1,518,1,,,,,
78,18#符文升级,518,1,518,1,518,1,519,1,,,,,
79,13#符文降级,513,1,223,10,,,512,1,,,,,
80,14#符文降级,514,1,223,10,,,513,1,,,,,
81,15#符文降级,515,1,223,10,,,514,1,,,,,
82,16#符文降级,516,1,223,10,,,515,1,,,,,
83,17#符文降级,517,1,223,10,,,516,1,,,,,
84,18#符文降级,518,1,223,10,,,517,1,,,,,
85,19#符文降级,519,1,223,10,,,518,1,,,,,
86,战神之魂,484,1,512,1,223,5000,485,1,,,,,
87,法神之魂,512,1,484,1,223,5000,486,1,,,,,
88,道神之魂,512,1,223,5000,484,1,487,1,,,,,
89,麻痹戒指（攻击）,481,1,485,1,513,1,104,1,,4,50,1,
90,麻痹戒指（魔法）,481,1,486,1,513,1,104,1,,6,50,1,
91,麻痹戒指（道术）,481,1,487,1,513,1,104,1,,8,50,1,
92,复活戒指（攻击）,480,1,485,1,513,1,105,1,,4,50,2,
93,复活戒指（魔法）,480,1,486,1,513,1,105,1,,6,50,2,
94,复活戒指（道术）,480,1,487,1,513,1,105,1,,8,50,2,
95,护身戒指（攻击）,482,1,485,1,513,1,109,1,,4,50,3,
96,护身戒指（魔法）,482,1,486,1,513,1,109,1,,6,50,3,
97,护身戒指（道术）,482,1,487,1,513,1,109,1,,8,50,3,
98,隐身戒指（攻击）,479,1,485,1,513,1,75,1,,4,50,4,
99,隐身戒指（魔法）,479,1,486,1,513,1,75,1,,6,50,4,
100,隐身戒指（道术）,479,1,487,1,513,1,75,1,,8,50,4,
101,黑铁合成金碎片,223,1000,502,1,491,1,491,2000,,,,,
102,黑铁合成木碎片,223,1000,502,1,492,1,492,2000,,,,,
103,黑铁合成水碎片,223,1000,502,1,493,1,493,2000,,,,,
104,黑铁合成火碎片,223,1000,502,1,494,1,494,2000,,,,,
105,黑铁合成土碎片,223,1000,502,1,495,1,495,2000,,,,,
106,巅峰证明,217,5000,223,5000,510,1,497,1,,,,,
107,200巅峰装备洗练,521,1,498,1000,223,1000,521,1,40,,,,
108,200巅峰装备洗练,522,1,498,1000,223,1000,522,1,40,,,,
109,200巅峰装备洗练,523,1,498,1000,223,1000,523,1,40,,,,
110,200巅峰装备洗练,524,1,498,1000,223,1000,524,1,40,,,,
111,200巅峰装备洗练,525,1,498,1000,223,1000,525,1,40,,,,
112,200巅峰装备洗练,526,1,498,1000,223,1000,526,1,40,,,,
113,200巅峰装备洗练,527,1,498,2000,223,2000,527,1,40,,,,
114,200巅峰装备洗练,528,1,498,1500,223,1500,528,1,40,,,,
115,200巅峰装备洗练,529,1,498,1500,223,1500,529,1,40,,,,
116,300巅峰装备洗练,531,1,498,1000,223,1000,531,1,60,,,,
117,300巅峰装备洗练,532,1,498,1000,223,1000,532,1,60,,,,
118,300巅峰装备洗练,533,1,498,1000,223,1000,533,1,60,,,,
119,300巅峰装备洗练,534,1,498,1000,223,1000,534,1,60,,,,
120,300巅峰装备洗练,535,1,498,1000,223,1000,535,1,60,,,,
121,300巅峰装备洗练,536,1,498,1000,223,1000,536,1,60,,,,
122,300巅峰装备洗练,537,1,498,2000,223,2000,537,1,60,,,,
123,300巅峰装备洗练,538,1,498,1500,223,1500,538,1,60,,,,
124,300巅峰装备洗练,539,1,498,1500,223,1500,539,1,60,,,,
125,一级宝石合二级,543,1,543,1,502,1,544,1,,,,,
126,二级宝石合三级,544,1,544,1,504,1,545,1,,,,,
127,三级宝石合四级,545,1,545,1,506,1,546,1,,,,,
128,四级宝石合五级,546,1,546,1,508,1,547,1,,,,,
129,五级宝石合五级,547,1,510,1,,,547,1,,,,,
130,五级宝石洗练,547,1,547,1,,,547,1,,,,,
131,一级宝石洗练,543,1,502,1,,,543,1,,,,,
132,二级宝石洗练,544,1,504,1,,,544,1,,,,,
133,三级宝石洗练,545,1,506,1,,,545,1,,,,,
134,四级宝石洗练,546,1,508,1,,,546,1,,,,,
135,200戒指*麻痹,521,1,485,1,104,1,521,1,,4,100,1,50
136,200戒指,521,1,486,1,104,1,521,1,,6,100,1,50
137,200戒指,521,1,487,1,104,1,521,1,,8,100,1,50
138,200戒指,521,1,485,1,105,1,521,1,,4,100,2,50
139,200戒指,521,1,486,1,105,1,521,1,,6,100,2,50
140,200戒指,521,1,487,1,105,1,521,1,,8,100,2,50
141,200戒指,521,1,485,1,109,1,521,1,,4,100,3,50
142,200戒指,521,1,486,1,109,1,521,1,,6,100,3,50
143,200戒指,521,1,487,1,109,1,521,1,,8,100,3,50
144,200戒指,521,1,485,1,75,1,521,1,,4,100,4,50
145,200戒指,521,1,486,1,75,1,521,1,,6,100,4,50
146,200戒指,521,1,487,1,75,1,521,1,,8,100,4,50
147,200手镯*防麻痹,522,1,485,1,104,1,522,1,,4,50,5,
148,200手镯,522,1,486,1,104,1,522,1,,6,50,5,
149,200手镯,522,1,487,1,104,1,522,1,,8,50,5,
150,200手镯,522,1,485,1,105,1,522,1,,4,50,6,
151,200手镯,522,1,486,1,105,1,522,1,,6,50,6,
152,200手镯,522,1,487,1,105,1,522,1,,8,50,6,
153,200手镯,522,1,485,1,109,1,522,1,,4,50,7,
154,200手镯,522,1,486,1,109,1,522,1,,6,50,7,
155,200手镯,522,1,487,1,109,1,522,1,,8,50,7,
156,200手镯,522,1,485,1,75,1,522,1,,4,50,8,
157,200手镯,522,1,486,1,75,1,522,1,,6,50,8,
158,200手镯,522,1,487,1,75,1,522,1,,8,50,8,
159,热血戒指*麻痹(攻击),531,1,485,1,104,1,531,1,,4,100,1,50
160,热血戒指,531,1,486,1,104,1,531,1,,6,100,1,50
161,热血戒指,531,1,487,1,104,1,531,1,,8,100,1,50
162,热血戒指,531,1,485,1,105,1,531,1,,4,100,2,50
163,热血戒指,531,1,486,1,105,1,531,1,,6,100,2,50
164,热血戒指,531,1,487,1,105,1,531,1,,8,100,2,50
165,热血戒指,531,1,485,1,109,1,531,1,,4,100,3,50
166,热血戒指,531,1,486,1,109,1,531,1,,6,100,3,50
167,热血戒指,531,1,487,1,109,1,531,1,,8,100,3,50
168,热血戒指,531,1,485,1,75,1,531,1,,4,100,4,50
169,热血戒指,531,1,486,1,75,1,531,1,,6,100,4,50
170,热血戒指,531,1,487,1,75,1,531,1,,8,100,4,50
171,热血护腕*防麻痹(攻击),532,1,485,1,104,1,532,1,,4,50,5,
172,热血护腕,532,1,486,1,104,1,532,1,,6,50,5,
173,热血护腕,532,1,487,1,104,1,532,1,,8,50,5,
174,热血护腕,532,1,485,1,105,1,532,1,,4,50,6,
175,热血护腕,532,1,486,1,105,1,532,1,,6,50,6,
176,热血护腕,532,1,487,1,105,1,532,1,,8,50,6,
177,热血护腕,532,1,485,1,109,1,532,1,,4,50,7,
178,热血护腕,532,1,486,1,109,1,532,1,,6,50,7,
179,热血护腕,532,1,487,1,109,1,532,1,,8,50,7,
180,热血护腕,532,1,485,1,75,1,532,1,,4,50,8,
181,热血护腕,532,1,486,1,75,1,532,1,,6,50,8,
182,热血护腕,532,1,487,1,75,1,532,1,,8,50,8,
183,400巅峰装备洗练,560,1,498,1000,223,1000,560,1,80,,,,
184,400巅峰装备洗练,561,1,498,1000,223,1000,561,1,80,,,,
185,400巅峰装备洗练,562,1,498,1000,223,1000,562,1,80,,,,
186,400巅峰装备洗练,563,1,498,1000,223,1000,563,1,80,,,,
187,400巅峰装备洗练,564,1,498,1000,223,1000,564,1,80,,,,
188,400巅峰装备洗练,565,1,498,1000,223,1000,565,1,80,,,,
189,400巅峰装备洗练,566,1,498,2000,223,2000,566,1,80,,,,
190,400巅峰装备洗练,567,1,498,1500,223,1500,567,1,80,,,,
191,400巅峰装备洗练,568,1,498,1500,223,1500,568,1,80,,,,
192,神龙戒指*麻痹,560,1,485,1,104,1,560,1,,4,100,1,50
193,神龙戒指,560,1,486,1,104,1,560,1,,6,100,1,50
194,神龙戒指,560,1,487,1,104,1,560,1,,8,100,1,50
195,神龙戒指,560,1,485,1,105,1,560,1,,4,100,2,50
196,神龙戒指,560,1,486,1,105,1,560,1,,6,100,2,50
197,神龙戒指,560,1,487,1,105,1,560,1,,8,100,2,50
198,神龙戒指,560,1,485,1,109,1,560,1,,4,100,3,50
199,神龙戒指,560,1,486,1,109,1,560,1,,6,100,3,50
200,神龙戒指,560,1,487,1,109,1,560,1,,8,100,3,50
201,神龙戒指,560,1,485,1,75,1,560,1,,4,100,4,50
202,神龙戒指,560,1,486,1,75,1,560,1,,6,100,4,50
203,神龙戒指,560,1,487,1,75,1,560,1,,8,100,4,50
204,神龙护腕*麻痹,561,1,485,1,104,1,561,1,,4,50,5,
205,神龙护腕,561,1,486,1,104,1,561,1,,6,50,5,
206,神龙护腕,561,1,487,1,104,1,561,1,,8,50,5,
207,神龙护腕,561,1,485,1,105,1,561,1,,4,50,6,
208,神龙护腕,561,1,486,1,105,1,561,1,,6,50,6,
209,神龙护腕,561,1,487,1,105,1,561,1,,8,50,6,
210,神龙护腕,561,1,485,1,109,1,561,1,,4,50,7,
211,神龙护腕,561,1,486,1,109,1,561,1,,6,50,7,
212,神龙护腕,561,1,487,1,109,1,561,1,,8,50,7,
213,神龙护腕,561,1,485,1,75,1,561,1,,4,50,8,
214,神龙护腕,561,1,486,1,75,1,561,1,,6,50,8,
215,神龙护腕,561,1,487,1,75,1,561,1,,8,50,8,
216,传说剑1,151,1,569,2000,513,1,653,1,,,,,
217,传说剑2,653,1,644,100,513,1,654,1,,,,,
218,传说剑3,654,1,645,100,513,1,655,1,,,,,
219,传说剑4,655,1,646,100,513,1,656,1,,,,,
220,传说剑5,656,1,647,100,513,1,657,1,,,,,
221,传说剑6,657,1,648,100,513,1,658,1,,,,,
222,传说剑7,658,1,649,100,513,1,659,1,,,,,
223,传说剑8,659,1,650,100,513,1,660,1,,,,,
224,传说剑9,660,1,651,100,513,1,661,1,,,,,
225,传说剑,661,1,652,100,513,1,641,1,,4,800,,300
226,传说剑洗练,641,1,569,2000,514,1,641,1,,4,800,,500
227,传说男衣1,341,1,569,2000,513,1,662,1,,,,,
228,传说男衣2,662,1,644,100,513,1,663,1,,,,,
229,传说男衣3,663,1,645,100,513,1,664,1,,,,,
230,传说男衣4,664,1,646,100,513,1,665,1,,,,,
231,传说男衣5,665,1,647,100,513,1,666,1,,,,,
232,传说男衣6,666,1,648,100,513,1,667,1,,,,,
233,传说男衣7,667,1,649,100,513,1,668,1,,,,,
234,传说男衣8,668,1,650,100,513,1,669,1,,,,,
235,传说男衣9,669,1,651,100,513,1,670,1,,,,,
236,传说男衣,670,1,652,100,513,1,642,1,,10,600,,200
237,传说男衣洗练,642,1,569,2000,514,1,642,1,,10,800,,300
238,传说女衣1,342,1,569,2000,513,1,671,1,,,,,
239,传说女衣2,671,1,644,100,513,1,672,1,,,,,
240,传说女衣3,672,1,645,100,513,1,673,1,,,,,
241,传说女衣4,673,1,646,100,513,1,674,1,,,,,
242,传说女衣5,674,1,647,100,513,1,675,1,,,,,
243,传说女衣6,675,1,648,100,513,1,676,1,,,,,
244,传说女衣7,676,1,649,100,513,1,677,1,,,,,
245,传说女衣8,677,1,650,100,513,1,678,1,,,,,
246,传说女衣9,678,1,651,100,513,1,679,1,,,,,
247,传说女衣,679,1,652,100,513,1,643,1,,12,600,,200
248,传说女衣洗练,643,1,569,2000,514,1,643,1,,12,800,,300
249,麒麟戒指洗练,575,1,498,1000,223,1000,575,1,100,,,,
250,麒麟护腕,576,1,498,1000,223,1000,576,1,100,,,,
251,麒麟项链,577,1,498,1000,223,1000,577,1,100,,,,
252,麒麟头盔,578,1,498,1000,223,1000,578,1,100,,,,
253,麒麟腰带,579,1,498,1000,223,1000,579,1,100,,,,
254,麒麟战靴,580,1,498,1000,223,1000,580,1,100,,,,
255,凤凰戒指,581,1,498,1000,223,1000,581,1,120,,,,
256,凤凰护腕,582,1,498,1000,223,1000,582,1,120,,,,
257,凤凰项链,583,1,498,1000,223,1000,583,1,120,,,,
258,凤凰头盔,584,1,498,1000,223,1000,584,1,120,,,,
259,凤凰腰带,585,1,498,1000,223,1000,585,1,120,,,,
260,凤凰战靴,586,1,498,1000,223,1000,586,1,120,,,,
261,诛仙戒指,587,1,498,1000,223,1000,587,1,140,,,,
262,诛仙护腕,588,1,498,1000,223,1000,588,1,140,,,,
263,诛仙项链,589,1,498,1000,223,1000,589,1,140,,,,
264,诛仙头盔,590,1,498,1000,223,1000,590,1,140,,,,
265,诛仙腰带,591,1,498,1000,223,1000,591,1,140,,,,
266,诛仙战靴,592,1,498,1000,223,1000,592,1,140,,,,
267,龙王戒指,593,1,498,1000,223,1000,593,1,160,,,,
268,龙王护腕,594,1,498,1000,223,1000,594,1,160,,,,
269,龙王项链,595,1,498,1000,223,1000,595,1,160,,,,
270,龙王头盔,596,1,498,1000,223,1000,596,1,160,,,,
271,龙王腰带,597,1,498,1000,223,1000,597,1,160,,,,
272,龙王战靴,598,1,498,1000,223,1000,598,1,160,,,,
273,天神戒指,599,1,498,1000,223,1000,599,1,180,,,,
274,天神护腕,600,1,498,1000,223,1000,600,1,180,,,,
275,天神项链,601,1,498,1000,223,1000,601,1,180,,,,
276,天神头盔,602,1,498,1000,223,1000,602,1,180,,,,
277,天神腰带,603,1,498,1000,223,1000,603,1,180,,,,
278,天神战靴,604,1,498,1000,223,1000,604,1,180,,,,
279,戒指,605,1,498,1000,223,1000,605,1,200,,,,
280,护腕,606,1,498,1000,223,1000,606,1,200,,,,
281,项链,607,1,498,1000,223,1000,607,1,200,,,,
282,头盔,608,1,498,1000,223,1000,608,1,200,,,,
283,腰带,609,1,498,1000,223,1000,609,1,200,,,,
284,战靴,610,1,498,1000,223,1000,610,1,200,,,,
285,戒指,611,1,498,1000,223,1000,611,1,220,,,,
286,护腕,612,1,498,1000,223,1000,612,1,220,,,,
287,项链,613,1,498,1000,223,1000,613,1,220,,,,
288,头盔,614,1,498,1000,223,1000,614,1,220,,,,
289,腰带,615,1,498,1000,223,1000,615,1,220,,,,
290,战靴,616,1,498,1000,223,1000,616,1,220,,,,
291,戒指,617,1,498,1000,223,1000,617,1,240,,,,
292,护腕,618,1,498,1000,223,1000,618,1,240,,,,
293,项链,619,1,498,1000,223,1000,619,1,240,,,,
294,头盔,620,1,498,1000,223,1000,620,1,240,,,,
295,腰带,621,1,498,1000,223,1000,621,1,240,,,,
296,战靴,622,1,498,1000,223,1000,622,1,240,,,,
297,戒指,623,1,498,1000,223,1000,623,1,260,,,,
298,护腕,624,1,498,1000,223,1000,624,1,260,,,,
299,项链,625,1,498,1000,223,1000,625,1,260,,,,
300,头盔,626,1,498,1000,223,1000,626,1,260,,,,
301,腰带,627,1,498,1000,223,1000,627,1,260,,,,
302,战靴,628,1,498,1000,223,1000,628,1,260,,,,
303,戒指,629,1,498,1000,223,1000,629,1,280,,,,
304,护腕,630,1,498,1000,223,1000,630,1,280,,,,
305,项链,631,1,498,1000,223,1000,631,1,280,,,,
306,头盔,632,1,498,1000,223,1000,632,1,280,,,,
307,腰带,633,1,498,1000,223,1000,633,1,280,,,,
308,战靴,634,1,498,1000,223,1000,634,1,280,,,,
309,戒指,635,1,498,1000,223,1000,635,1,300,,,,
310,护腕,636,1,498,1000,223,1000,636,1,300,,,,
311,项链,637,1,498,1000,223,1000,637,1,300,,,,
312,头盔,638,1,498,1000,223,1000,638,1,300,,,,
313,腰带,639,1,498,1000,223,1000,639,1,300,,,,
314,战靴,640,1,498,1000,223,1000,640,1,300,,,,
315,麒麟戒指*麻痹,575,1,485,1,104,1,575,1,,4,100,1,50
316,麒麟戒指,575,1,486,1,104,1,575,1,,6,100,1,50
317,麒麟戒指,575,1,487,1,104,1,575,1,,8,100,1,50
318,麒麟戒指,575,1,485,1,105,1,575,1,,4,100,2,50
319,麒麟戒指,575,1,486,1,105,1,575,1,,6,100,2,50
320,麒麟戒指,575,1,487,1,105,1,575,1,,8,100,2,50
321,麒麟戒指,575,1,485,1,109,1,575,1,,4,100,3,50
322,麒麟戒指,575,1,486,1,109,1,575,1,,6,100,3,50
323,麒麟戒指,575,1,487,1,109,1,575,1,,8,100,3,50
324,麒麟戒指,575,1,485,1,75,1,575,1,,4,100,4,50
325,麒麟戒指,575,1,486,1,75,1,575,1,,6,100,4,50
326,麒麟戒指,575,1,487,1,75,1,575,1,,8,100,4,50
327,麒麟护腕*防麻痹,576,1,485,1,104,1,576,1,,4,50,5,
328,麒麟护腕,576,1,486,1,104,1,576,1,,6,50,5,
329,麒麟护腕,576,1,487,1,104,1,576,1,,8,50,5,
330,麒麟护腕,576,1,485,1,105,1,576,1,,4,50,6,
331,麒麟护腕,576,1,486,1,105,1,576,1,,6,50,6,
332,麒麟护腕,576,1,487,1,105,1,576,1,,8,50,6,
333,麒麟护腕,576,1,485,1,109,1,576,1,,4,50,7,
334,麒麟护腕,576,1,486,1,109,1,576,1,,6,50,7,
335,麒麟护腕,576,1,487,1,109,1,576,1,,8,50,7,
336,麒麟护腕,576,1,485,1,75,1,576,1,,4,50,8,
337,麒麟护腕,576,1,486,1,75,1,576,1,,6,50,8,
338,麒麟护腕,576,1,487,1,75,1,576,1,,8,50,8,
339,凤凰戒指*麻痹,581,1,485,1,104,1,581,1,,4,100,1,50
340,凤凰戒指,581,1,486,1,104,1,581,1,,6,100,1,50
341,凤凰戒指,581,1,487,1,104,1,581,1,,8,100,1,50
342,凤凰戒指,581,1,485,1,105,1,581,1,,4,100,2,50
343,凤凰戒指,581,1,486,1,105,1,581,1,,6,100,2,50
344,凤凰戒指,581,1,487,1,105,1,581,1,,8,100,2,50
345,凤凰戒指,581,1,485,1,109,1,581,1,,4,100,3,50
346,凤凰戒指,581,1,486,1,109,1,581,1,,6,100,3,50
347,凤凰戒指,581,1,487,1,109,1,581,1,,8,100,3,50
348,凤凰戒指,581,1,485,1,75,1,581,1,,4,100,4,50
349,凤凰戒指,581,1,486,1,75,1,581,1,,6,100,4,50
350,凤凰戒指,581,1,487,1,75,1,581,1,,8,100,4,50
351,凤凰护腕*防麻痹,582,1,485,1,104,1,582,1,,4,50,5,
352,凤凰护腕,582,1,486,1,104,1,582,1,,6,50,5,
353,凤凰护腕,582,1,487,1,104,1,582,1,,8,50,5,
354,凤凰护腕,582,1,485,1,105,1,582,1,,4,50,6,
355,凤凰护腕,582,1,486,1,105,1,582,1,,6,50,6,
356,凤凰护腕,582,1,487,1,105,1,582,1,,8,50,6,
357,凤凰护腕,582,1,485,1,109,1,582,1,,4,50,7,
358,凤凰护腕,582,1,486,1,109,1,582,1,,6,50,7,
359,凤凰护腕,582,1,487,1,109,1,582,1,,8,50,7,
360,凤凰护腕,582,1,485,1,75,1,582,1,,4,50,8,
361,凤凰护腕,582,1,486,1,75,1,582,1,,6,50,8,
362,凤凰护腕,582,1,487,1,75,1,582,1,,8,50,8,
363,诛仙戒指*麻痹,587,1,485,1,104,1,587,1,,4,100,1,50
364,诛仙戒指,587,1,486,1,104,1,587,1,,6,100,1,50
365,诛仙戒指,587,1,487,1,104,1,587,1,,8,100,1,50
366,诛仙戒指,587,1,485,1,105,1,587,1,,4,100,2,50
367,诛仙戒指,587,1,486,1,105,1,587,1,,6,100,2,50
368,诛仙戒指,587,1,487,1,105,1,587,1,,8,100,2,50
369,诛仙戒指,587,1,485,1,109,1,587,1,,4,100,3,50
370,诛仙戒指,587,1,486,1,109,1,587,1,,6,100,3,50
371,诛仙戒指,587,1,487,1,109,1,587,1,,8,100,3,50
372,诛仙戒指,587,1,485,1,75,1,587,1,,4,100,4,50
373,诛仙戒指,587,1,486,1,75,1,587,1,,6,100,4,50
374,诛仙戒指,587,1,487,1,75,1,587,1,,8,100,4,50
375,诛仙护腕*防麻痹,588,1,485,1,104,1,588,1,,4,50,5,
376,诛仙护腕,588,1,486,1,104,1,588,1,,6,50,5,
377,诛仙护腕,588,1,487,1,104,1,588,1,,8,50,5,
378,诛仙护腕,588,1,485,1,105,1,588,1,,4,50,6,
379,诛仙护腕,588,1,486,1,105,1,588,1,,6,50,6,
380,诛仙护腕,588,1,487,1,105,1,588,1,,8,50,6,
381,诛仙护腕,588,1,485,1,109,1,588,1,,4,50,7,
382,诛仙护腕,588,1,486,1,109,1,588,1,,6,50,7,
383,诛仙护腕,588,1,487,1,109,1,588,1,,8,50,7,
384,诛仙护腕,588,1,485,1,75,1,588,1,,4,50,8,
385,诛仙护腕,588,1,486,1,75,1,588,1,,6,50,8,
386,诛仙护腕,588,1,487,1,75,1,588,1,,8,50,8,
387,龙王戒指*麻痹,593,1,485,1,104,1,593,1,,4,100,1,50
388,龙王戒指,593,1,486,1,104,1,593,1,,6,100,1,50
389,龙王戒指,593,1,487,1,104,1,593,1,,8,100,1,50
390,龙王戒指,593,1,485,1,105,1,593,1,,4,100,2,50
391,龙王戒指,593,1,486,1,105,1,593,1,,6,100,2,50
392,龙王戒指,593,1,487,1,105,1,593,1,,8,100,2,50
393,龙王戒指,593,1,485,1,109,1,593,1,,4,100,3,50
394,龙王戒指,593,1,486,1,109,1,593,1,,6,100,3,50
395,龙王戒指,593,1,487,1,109,1,593,1,,8,100,3,50
396,龙王戒指,593,1,485,1,75,1,593,1,,4,100,4,50
397,龙王戒指,593,1,486,1,75,1,593,1,,6,100,4,50
398,龙王戒指,593,1,487,1,75,1,593,1,,8,100,4,50
399,龙王护腕*防麻痹,594,1,485,1,104,1,594,1,,4,50,5,
400,龙王护腕,594,1,486,1,104,1,594,1,,6,50,5,
401,龙王护腕,594,1,487,1,104,1,594,1,,8,50,5,
402,龙王护腕,594,1,485,1,105,1,594,1,,4,50,6,
403,龙王护腕,594,1,486,1,105,1,594,1,,6,50,6,
404,龙王护腕,594,1,487,1,105,1,594,1,,8,50,6,
405,龙王护腕,594,1,485,1,109,1,594,1,,4,50,7,
406,龙王护腕,594,1,486,1,109,1,594,1,,6,50,7,
407,龙王护腕,594,1,487,1,109,1,594,1,,8,50,7,
408,龙王护腕,594,1,485,1,75,1,594,1,,4,50,8,
409,龙王护腕,594,1,486,1,75,1,594,1,,6,50,8,
410,龙王护腕,594,1,487,1,75,1,594,1,,8,50,8,
411,号角合黄金宝箱,689,1,501,1,,,694,10,,,,,
412,号角合秘境重置卷,689,2,502,1,,,558,1,,,,,
413,号角合幻境重置卷,689,2,503,1,,,488,1,,,,,
414,号角合项链祝福油,689,1,504,1,,,695,1,,,,,
415,号角合升级丹,689,10,512,1,,,693,1,,,,,
416,镜子合成,689,100,513,1,,,697,1,,,,,
417,渡劫护身符合成,498,200000,512,1,,,701,1,,,,,
418,天神戒指*麻痹,599,1,485,1,104,1,599,1,,4,100,1,50
419,天神戒指,599,1,486,1,104,1,599,1,,6,100,1,50
420,天神戒指,599,1,487,1,104,1,599,1,,8,100,1,50
421,天神戒指,599,1,485,1,105,1,599,1,,4,100,2,50
422,天神戒指,599,1,486,1,105,1,599,1,,6,100,2,50
423,天神戒指,599,1,487,1,105,1,599,1,,8,100,2,50
424,天神戒指,599,1,485,1,109,1,599,1,,4,100,3,50
425,天神戒指,599,1,486,1,109,1,599,1,,6,100,3,50
